[ OS , , Version , , Claimed IPv6-ready , , Installed by default , , [[DHCPv6]] , , ND]] RDNSS ],
| 4.3,| {{yes}},| {{yes}},| {{yes}},| {{no}},|,
| 5.4.4,| {{yes}},| {{yes}},| {{yes}},| {{no}},|,
| 5.0 ([[Android Lollipop|Lollipop]]),| {{Yes}},| {{yes}},| {{no}},| {{yes}},|,
| 67.0.3396.99,| {{yes}},| {{yes}},| {{no}},| {{yes}},|,
| 15.3,| {{yes}},| {{yes}},| {{yes}},| {{yes}},| Support for RDNSS option as of 15.4(1)T 15.3(2)S.,
| MX + MR + MX series,| {{no}},| {{no}},| {{no}},| {{no}},| Devices can only carry / pass through IPv6 on bridge but not route,
| 3.0 (woody),| {{yes}},| {{yes}},| {{yes}},| {{yes}},| RDNSS support with "rdnssd" and "resolvconf" or "openresolve" packages.,
| 13 ,| {{yes}},| {{yes}},| {{yes}}ref name=fedorav6 /,| {{yes}}ref name=fedorav6 /,|,
| 9.0 ,| {{yes}},| {{yes}},| {{partial|Addon}}ref name="dhcpv6"/,| {{yes}},|,
| 11i,| {{yes}},| {{yes}},| {{yes}},| {{yes}},|,
| 7.1,| {{yes}},| {{yes}},| {{yes}},| {{no}},|,
| 4.1,| {{yes}},| {{yes}},| {{yes}},| {{yes}},|,
| 14.1,| {{yes}},| {{yes}},| {{yes}},| {{yes}},| RDNSS support introduced in JunOS 14.1,
| 9.2.1,| {{no}},| {{no}},| {{no}},| {{no}},| LibreELEC uses [https://01.org/connman connman] which does not have full IPv6 support. ,
| [[Mac OS X Lion|Mac OS X 10.7 (Lion)]],| {{yes}},| {{yes}},| {{yes}},| {{yes}},| Versions 10.7 through 10.10 often prefer IPv4 even when working IPv6 connectivity is available.,
| 1.2,| {{no}},| {{yes}},| {{no}},| {{yes}},|,
| 7.0,| {{yes}},| {{yes}},| {{yes}},| {{yes}},|,
| 6.6 ,| {{yes}},| {{yes}},| {{partial|Addon}}ref name="dhcpv6"/,| {{yes}},| RDNSS is only supported for rad(8) so far. As of 6.6 OpenBSD still does not favor IPv6 connectivity if there is IPv4 connectivity.{{Citation needed|date=June 2020}},
| 42.1 (Leap),| {{yes}},| {{yes}},| {{yes}},| {{yes}},|,
| 8.3,| {{yes}},| {{yes}},| {{no}},| {{no}},|,
| 0.4.11,| {{no}},| {{no}},| {{no}},| {{no}},| Though ReactOS itself has no IPv6 support [https://reactos.org/wiki/IPv6 ReactOS Foundation services are all IPv6 enabled].,
| 6 ,| {{yes}},| {{yes}},| {{yes}}ref name="dhcpv6"/,| {{yes}},|,
| 11,| {{yes}},| {{yes}},| {{yes}},| {{yes}},|,
| 11,| {{yes}},| {{yes}},| {{yes}},| {{yes}},|,
| 7.0,| {{yes}},| {{yes}},| {{no}},| {{no}},| [http://sw.nokia.com/id/f9363497-5d96-4354-b071-e212ab204c63/Nokia_Views_on_IPv6_Transition_v2_0_en.pdf]{{dead link|date=August 2017 |bot=InternetArchiveBot |fix-attempted=yes }},
| All supported versions !--11.04 to 13.10--,| {{yes}},| {{yes}},| {{yes}},| {{yes}},| RDNSS support available so long as NetworkManager uses IPv6 "Automatic" setting otherwise "rdnssd" package required.,
| 2.1.0,| {{no}},| {{no}},| {{no}},| {{no}},|,
| 5.1 ([[Windows XP|XP]]),| {{yes}},| {{no}},| {{partial|Addon}},| {{no}},| Windows XP users can use Dibbler an open source DHCPv6 implementation. --update: Windows XP fully supports IPv6- but NOT IPv6 DNS queries (nslookup),
| {{yes}},| {{yes}},| {{yes}}ref name="dhcpv6"/,| {{no}},| dnssd-win32 provides an open source implementation of ND RDNSS,
| {{yes}}ref name="logo_program_list" /,| {{yes}},| {{yes}}ref name="dhcpv6"/,| {{yes}},| Windows 10 Creators Update introduces support for RFC 8106 (6106) RDNSS.,
| 6.5,| {{yes}},| {{yes}},| {{partial|Lite}},| {{no}},| If the OEM explicitly unsets the '''SYSGEN_TCPIP6''' pre-processor symbol the built image will not have any IPv6 capabilities.,
| 7.5,| {{no}},| {{no}},| {{no}},| {{no}},|,
| {{yes}},| {{yes}},| {{yes}},| {{no}},| Private lab research. No privacy extensions (RFC4941).,
| V1R4.0,| {{yes}},| {{yes}},| {{no}},|,|,
| V5R1.0,| {{yes}},| {{yes}},| {{no}},| {{no}},|,
| V4R2,| {{partial|Addon}},| {{no}},|,|,| Via a third party TCP/IP stack IP6/VSE from Barnard Software Inc.,
,
