,Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
Ability Photopaint,Graphics editor with some advanced features,Ability Software,200103,4,,,proprietary
ACDSee,,,,19,,$59,proprietary
ACDSee Pro,,,,9,,$99,proprietary
ACDSee Ultimate,,,,9,,$149,proprietary
Acorn Image Editor,Image editor and graphics creator for macOS,Flying Meat Inc.,20070910,5.6.2,20170124,,proprietary
Adobe Fireworks*," Alternative to Photoshop targeted at web designers, discontinued after CS6",Macromedia,1998," data-sort-value=""12""  CS6 / 12.0 ",20120507,Discontinued,proprietary
Adobe Photoshop,Professional image editor and graphics creation tool,Adobe Systems,19900219," data-sort-value=""17""  CC 2020/ 21.1.3 ",20200519,$9.99/month,proprietary
Adobe Photoshop Elements," Raster graphics editor for entry-level photographers, image editors and hobbyists ",,,14.0,20150924,$99,proprietary
Adobe Photoshop Lightroom,Photo editor,Adobe Systems,20070219,8.2,20190207,$9.99/month,proprietary
Affinity Photo," Professional image editor for Windows, macOS and iOS",Serif Europe,20150709,1.8.2,20200403,$49.99,proprietary
Autodesk SketchBook Pro,Paint and drawing toolset for use with digitized pen tablets  ; tablet computers,Autodesk,2004," data-sort-value=""4.1""  2016 (4.1) ",,,proprietary
Artipic,Image editor for Windows and macOS,Artipic AB,2014,2.6,20171030,,proprietary
ArtRage,Digital paint program for tablet computers,Ambient Design,2004,6,201906,,proprietary
Artweaver,Emulates physical painting experience on a computer,Boris Eyrich,2002,7.0.4,20200209,,Freeware
Bibble*,Photo editor and organizer with camera raw file support,Bibble Labs,2000,5.2,,,proprietary
Black Ink,Advanced Digital Painting,Bleank,2012,2020.1,202001,$59.99,proprietary
Bloom,Procedural node-based image editor,Sad Cat Software,2015,1.0.467,20160805,,proprietary
Brush Strokes Image Editor,Image editor like Windows Paint,Paul Bird,2004,2.0,,,Freeware
Capture One,Professional raw converter and image editor,Phase One,2002,12,,,proprietary
Chasys Draw IES," Image Editor with layers, animation, icon edit, super-res, batch and camera raw",John Paul Chacha,2001,4.56.01,20181112,,Freeware
CinePaint," Moving picture, photo and graphics editor",Robin Rowe,20020704,1.0-4,20130508,,GPL
CodedColor PhotoStudio Pro,An bitmap graphics editor and image organizer for Windows pc,1STEIN Corp.,2001,6.2,,,proprietary
Corel PaintShop Pro,Advanced image editor and graphics creator,Jasc Software,1992," data-sort-value=""17""  X7 ",,,proprietary
Corel Painter,Made to create natural-looking artistic images," Mark Zimmer, Tom Hedges, John Derry",199108,15.1.0.740,20160112,,proprietary
Corel PHOTO-PAINT,Professional image editor and graphics creator with advanced features,Corel Corporation,1992," data-sort-value=""17""  X7/17 ",,,proprietary
darktable,Photography workflow application and raw developer,Johannes Hanika,200904,3.0.0,20191224,,GPL 3
Deluxe Paint*,Discontinued basic editor,Dan Silva,1985,5.2,1995,,proprietary
Deneba Canvas,Graphics editor and creator supporting both raster graphics and vector graphics.It also work on GIS data.," Jorge Miranda, Joaquin de Soto, Manny Menendez",198709,14,,,proprietary
DigiKam,Free photo organizer and image editor," Renchi Raju, Gilles Caulier",2002,6.4.0,20191102,,GPL
Digital Photo Professional,Photo organizer and image editor from Canon,Canon Inc.,,4.2.10,,,proprietary
Erdas Imagine,Advanced remote sensing and GIS ability;handles multispectral images," ERDAS, Inc.",1980," data-sort-value=""16""  2016 (16) ",20160614,,proprietary
Fatpaint,Full featured web-based graphic design and photo editing application,Mersica Inc.,2010,1.99.55,,,Freeware
Fotografix," Freeware, portable image editor",L. Madhavan,20090414,1.5,,,Freeware
F-Spot,Image viewer and organizer for GNOME,Ettore Perazzoli,2005,0.8.2,20101219,,GPLv2
GMIC,Free command line software for 2D or 3D image processing and visualization,David Tschumperlé,200810,2.8.3,20200123,,CeCILL
GIMP,Free image editor and graphics creator," Spencer Kimball, Peter Mattis",199601,2.10.18,20200224,,GNU (L)GPLv3+ v2.7+
GimPhoto," Modification of the free and open-source graphics program GNU Image Manipulation Program (GIMP), with the intent to be a free alternative to Adobe Photoshop.",Ek Kian,,24.1,20141230,,GPLv2
GIMPshop,GIMP with a GUI similar to Adobe Photoshop,Scott Moschella,,2.2.11,,,GPL
GNU Paint,Free and open-source raster graphics editor,Andy Tai,20070910,0.3.3,,,GPL
GrafX2,GrafX2 with a GUI similar to Deluxe Paint," Sunset Design (Guillaume Dorme, Karl Maritaud)",1996,2.7,20200201,,GPL
GraphicConverter," Image viewer, converter, organizer and editor capable of importing around 200 and exporting 80 different image file types. Compatible with many Photoshop plug-ins",Thorsten Lemke,1992,10,,,proprietary
GraphicsMagick,Commandline image converter and editor,GraphicsMagick Group,2002,1.3.34,20191224,,MIT
gThumb,Image viewer and organizer for the GNOME desktop environment,Paolo Bacchilega,2001,3.8.3,20191223,,GPL3
