" width="10%" Feature"," width="10%" Android"," width="10%" iOS"," width="10%" Windows 10 Mobile"," width="10%" BlackBerry 10"," width="10%" Tizen"," width="10%" Sailfish OS"," width="10%" Ubuntu Touch"
Official app store,Google Play,App Store,Microsoft Store,"BlackBerry World, Amazon Appstore ",Tizen Store,Jolla Store,OpenStore
Non-discriminatory stores,"No2No, Some apps like Ad blockers are censored on Google Play but developers can distribute apps from their own sources","No, Apple discriminates based on country and own Apple policies","No, Discriminates by country, manufacturer and type of application",No2 3rd party software,?,"Openrepos. Developers can distribute apps from their own sources, supports multiple app stores",?
"!Common APIs for smartphones, tablets, and PCs",Yes,Smartphone and tablet only,8.1+,No,No,Yes,Yes
Official SDK platform(s),"Linux, macOS and Windows",macOS using iOS SDK,Windows,"Windows, macOS, Linux (only Native SDK for 10+)","GNU/Linux, Windows, macOS","Windows, macOS and Linux",Yes
Cost to develop for the mobile OS,Free,Free with Xcode 7+,Free,Free,Free,Free,Free
Cost to publish app to official store,US$25 once to offer it on Google Play,US$99/year,"US$19, once, for an individual; and $99 for a company account. Students can get a token for an individual account (1 token for 365 days) which gives free access to Windows Store/Phone Dev Center for 12 months.",Free,Free,Free,Free
