FAT16B/FAT16X,8.3 (255 name=note-24," SFN: OEM A-Z, 0-9, ! # $ %  ;  ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN:  name=note-25name=note-24name=note-26",No limit definedname=note-12,"  data-sort-value=""2147483648""  2 (4) GiBname=""note-fsize""","  data-sort-value=""2147483648""  16 MiB to 2 (4) GiB",dunno
FAT32/FAT32X,8.3 (255 name=note-24," SFN: OEM A-Z, 0-9, ! # $ %  ;  ( ) - @ ^ _ ` { } ~, 0x80-0xFF, 0x20. LFN:  name=note-25name=note-24name=note-26"," 32,760 Unicode characters with each path component no more than 255 characters",dunno
FATX,42 bytesname=note-24,ASCII. Unicode not permitted.,No limit definedname=note-12,"  data-sort-value=""2147483648""  2 GiB","  data-sort-value=""2147483648""  16 MiB to 2 GiB",dunno
Fossil,dunno,dunno,dunno,"  data-sort-value=""0"" dunno","  data-sort-value=""0"" dunno",dunno
GEMDOS,8.3," A-Z, a-z, 0-9 ! @ # $ % ^  ; ( ) + - = ~ ` ;  "" ,   [ ] ( ) _",dunno,dunno,dunno,dunno
APFS,255 UTF-8 characters,Unicode 9.0 encoded in UTF-8,dunno,"  data-sort-value=""9223372036854775808""  8 EiB","  data-sort-value=""0"" dunno",263
F2FS,255 bytes," Any byte except NUL, /name=note-26",No limit definedname=note-12,"  data-sort-value=""4332075813437""  3.94 TiB","  data-sort-value=""17592186044416""  16 TiB",dunno
MFS,255 bytes,Any byte except :,No path (flat filesystem),"  data-sort-value=""268435456""  256 MiB","  data-sort-value=""268435456""  256 MiB",dunno
HFS,31 bytes,Any byte except :,Unlimited,"  data-sort-value=""2147483648""  2 GiB","  data-sort-value=""2199023255552""  2 TiB",dunno
HPFS,255 bytes," Any byte except NULname=note-27 The ""."" and "".."" directory entries in HPFS that are seen by applications programs are a partial fiction created by the Installable File System drivers. The on-disk data structure for a directory does not contain entries by those names, but instead contains a special ""start"" entry. Whilst on-disk directory entries by those names are not physically prohibited, they cannot be created in normal operation, and a directory containing such entries is corrupt.",No limit definedname=note-12,"  data-sort-value=""2147483648""  2 GiB","  data-sort-value=""2199023255552""  2 TiBname=note-13 This is the limit of the on-disk structures. The HPFS GiB.",dunno
NTFS,255 characters,In NUL In NUL," 32,767 Unicode characters with each path component (directory or filename) up to 255 characters longname=note-12","  data-sort-value=""18446744073709551616""  16 EiBname=note-55 This is the limit of the on-disk structures. The NTFS driver for TiB and the file size to 16 TiB respectively; in Windows 10 version 1709, the limit is 8 PiB when using 2 MiB cluster size.","  data-sort-value=""18446744073709551616""  16 EiBname=note-55",232
ReFS,255 UTF-16 characters," Any Unicode except NUL, /","  data-sort-value=""1208925819614629174706176""  1 YiB",dunno
HFS Plus," 255 UTF-16 charactersname=note-1 The ""classic"" Mac OS provides two sets of functions to retrieve file names from an HFS Plus volume, one of them returning the full Unicode names, the other shortened names fitting in the older 31 byte limit to accommodate older applications.",Any valid name=note-26name=note-2 HFS Plus mandates support for an escape sequence to allow arbitrary Unicode. Users of older software might see the escape sequences instead of the desired characters.,Unlimited,"  data-sort-value=""9223372036854775808""  slightly less than 8 EiB","  data-sort-value=""9223372036854775808""  slightly less than 8 EiB",dunno
FFS,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""4294967296""  4 GiB","  data-sort-value=""281474976710656""  256 TiB",dunno
HAMMER,255 bytes,Any byte except NULname=note-26,dunno,"  data-sort-value=""0"" dunno","  data-sort-value=""1152921504606846976""  1 EiB",dunno
UFS1,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""281474976710656""  16 GiB to 256 TiB","  data-sort-value=""281474976710656""  16 EiB"," Subdirectory per directory is 32,767"
UFS2,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""36028797018963968""  512 GiB to 32 PiB","  data-sort-value=""649037107316853896642560""  512 ZiB (279 bytes)"," Subdirectory per directory is 32,767"
ext,255 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""2147483648""  2 GiB","  data-sort-value=""2147483648""  2 GiB",dunno
Xiafs,248 bytes,Any byte except NULname=note-26,No limit definedname=note-12,"  data-sort-value=""67108864""  64 MiB","  data-sort-value=""2147483648""  2 GiB",dunno
ext2,255 bytes," Any byte except NUL, /name=note-26",No limit definedname=note-12,"  data-sort-value=""2199023255552""  16 GiB to 2 TiBname=note-4","  data-sort-value=""35184372088832""  2 TiB to 32 TiB",dunno
