,Trident,Tasman,Gecko,WebKit,KHTML,Presto,iCab
abbr,date=May 2011,Yes,Yes,Yes,Yes,Yes,Yes
acronym,4.0,Yes,Yes,Yes,Yes,Yes,Yes
address,1.0,Yes,Yes,Yes,Yes,Yes,Yes
blockquote,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
br,1.0,Yes,Yes,Yes,Yes,Yes,Yes
cite,1.0,Yes,Yes,Yes,Yes,Yes,Yes
code,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
dfn,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
div,3.0,Yes,Yes,Yes,Yes,Yes,Yes
em,1.0,Yes,Yes,Yes,Yes,Yes,Yes
h1,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
h2,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
h3,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
h4,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
h5,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
h6,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
kbd,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
p,1.0,Yes,Yes,Yes,Yes,Yes,Yes
pre,1.0,Yes,Yes,Yes,Yes,Yes,Yes
q,4.0,Yes,Yes,Yes,Yes,Yes,Yes
samp,1.0,Yes,Yes,Yes,Yes,Yes,Yes
span,3.0,Yes,Yes,Yes,Yes,Yes,Yes
strong,1.0,Yes,Yes,Yes,Yes,Yes,Yes
var,,Yes,Yes,Yes,Yes,Yes,{{Yes}}
