Model,Launch,Code name,Bus interface,Core clock (MHz),Memory clock (MHz),Core config1,Fillrate,,,,|Memory,,,
,,,,,,,MOperations/s,MPixels/s,MTexels/s,MVertices/s,Size ([[Mebibyte|MiB]]),Bandwidth ([[Gigabyte|GB]]/s),Bus type,Bus width ([[bit]])
Radeon 9000,2003,RC350,FSB,300,400,4:1:2:2,600,600,600,75,16 - 128,3.2,DDR,64
Radeon 9100,,RS300 (superman),,,,,,,,,,| 6.4,,| 128
Radeon 9100 Pro," May 3, 2004",RS350,,,,,,,,,,,,
