Driver,Chipset,Integration,Free firmware,License,Original/Primary developer,Development,Free software
[https://man.openbsd.org/acx.4 acx],Texas Instruments ACX100/ACX111,Integrated,No,BSD,Ported from DragonFlyBSD,Reverse engineering,yes
[https://man.openbsd.org/an.4 an]," Aironet 4500/4800, Cisco Aironet 340/350",Integrated,n/a,BSD,,,yes
[https://man.openbsd.org/ath.4 ath],Atheros AR5210/ AR5211/ AR5212,Integrated,n/a,BSD,,Reverse engineering,yes
[https://man.openbsd.org/athn.4 athn],Atheros AR5416/AR9160/AR928X,Integrated (since 4.7),yes,BSD,Damien Bergamini,Partly based on the ath9k driver for Linux,yes
[https://man.openbsd.org/atu.4 atu],Atmel AT76C503/ AT76C503A/ AT76C505/ AT76C505A,Integrated,Yes,BSD,,Reverse engineering,yes
[https://man.openbsd.org/atw.4 atw],ADMtek ADM8211,Integrated,n/a,BSD,,Documentation based,yes
[https://man.openbsd.org/OpenBSD-4.3/awi.4 awi],BayStack 650,2.7 to 4.3,n/a,BSD,,,yes
[https://man.openbsd.org/bwi.4 bwi],Broadcom BCM430x/4318,Integrated,No,BSD,Sepherosa Ziehau,Ported from DragonFly BSD,yes
[https://man.openbsd.org/OpenBSD-6.0/cnw.4 cnw],NetWave AirSurfer,2.6 to 6.0,n/a,BSD,,,yes
[https://web.archive.org/web/20170124003320/http://damien.bergamini.free.fr/ipw/ ipw],Intel PRO/Wireless 2100,Integrated,No,BSD,Damien Bergamini,Reverse engineering,yes
[https://man.openbsd.org/iwi.4 iwi],Intel PRO/Wireless 2200BG/ 2225BG/ 2915ABG,Integrated,No,BSD,Damien Bergamini,Reverse engineering,yes
[https://man.openbsd.org/iwn.4 iwn],Intel Wireless WiFi Link 4965/ 5000/ 1000/ 6000,Integrated,No,BSD,Damien Bergamini,Reverse engineering,yes
[https://man.openbsd.org/iwm.4 iwm],Intel Wireless WiFi Link 3160ac/ 7260ac/ 7265ac,Integrated (since 5.8),No,BSD," Antti Kantee, Stefan Sperling","  Based on iwn, and iwlwifi driver released by Intel for Linux under dual GPLv2/BSD license ",yes
[https://man.openbsd.org/malo.4 malo],Marvell 88W8335/ 88W8310,Integrated,No,BSD,Marcus Glocker and Claudio Jeker,Reverse engineering,yes
[https://man.openbsd.org/otus.4 otus],Atheros AR9170,Integrated (since 4.6),No,BSD,Damien Bergamini,Based on source code released by Atheros for Linux under the ISC,yes
[https://man.openbsd.org/pgt.4 pgt]," Conexant/Intersil Prism GT Full-MAC ISL3877, ISL3880, and ISL3890 chips",Integrated,No,BSD,Ported from FreeBSD,Reverse engineering,yes
[https://man.openbsd.org/ral.4 ral]/[https://man.openbsd.org/ural.4 ural]," Ralink RT2500, RT2501, RT2600, RT2700, RT2800, RT3090, RT3292, RT3592 and RT5390 (ral), RT2500USB (ural)",Integrated,Yes,BSD,Damien Bergamini,Documentation based,yes
[https://man.openbsd.org/OpenBSD-5.4/ray.4 ray],Raytheon Raylink/WebGear Aviator IEEE 802.11FH,2.7 to 5.4,n/a,BSD,,,yes
[https://man.openbsd.org/rsu.4 rsu],Realtek RTL8188SU/RTL8191SU/RTL8192SU,Integrated (since 4.9),No,BSD,Damien Bergamini,Reverse engineering,yes
[https://man.openbsd.org/rtw.4 rtw],Realtek RTL8180L,Integrated,n/a,BSD,Ported from NetBSD,Documentation based,yes
[https://man.openbsd.org/rtwn.4 rtwn],Realtek RTL8188CE/RTL8192CE,Integrated,No,BSD,Stefan Sperling,Based on urtwn driver.,yes
[https://man.openbsd.org/rum.4 rum],Ralink RT2501USB/ RT2601USB,Integrated,Yes,BSD,Niall OHiggins and Damien Bergamini,Documentation based,yes
[https://man.openbsd.org/run.4 run],Ralink RT2700U/ RT2800U/ RT3000U,Integrated,Yes,BSD,Damien Bergamini,Documentation based,yes
[https://man.openbsd.org/uath.4 uath],Atheros AR5005UG/ AR5005UX,Integrated,No,BSD,Damien Bergamini,Reverse Engineering,yes
[https://man.openbsd.org/upgt.4 upgt],GW3887 (Conexant/Intersil PrismGT series),Integrated,No,BSD,Marcus Glocker,Reverse engineering,yes
[https://man.openbsd.org/urtw.4 urtw],Realtek RTL8187L,Integrated,n/a,BSD,Weongyo Jeong (FreeBSD),?,yes
[https://man.openbsd.org/urtwn.4 urtwn],Realtek RTL8188CU/RTL8192CU,Integrated (since 4.9),No,BSD,Damien Bergamini,Reverse engineering,yes
[https://man.openbsd.org/wi.4 wi]," PRISM-2, PRISM-2.5, PRISM-3; Symbol Spectrum24",Integrated,Yes for Spectrum24 and N/A for others,BSD,Bill Paul,Documentation based,yes
[https://man.openbsd.org/wpi.4 wpi],Intel PRO/Wireless 3945ABG,Integrated,No,BSD,Damien Bergamini,Reverse engineering,yes
[https://man.openbsd.org/zyd.4 zyd],ZyDAS ZD1211/ZD1211B,Integrated,Yes,BSD," Florian Stoehr, Damien Bergamini, and Jonathan Gray",Documentation based,yes
