Kernel name,Programming language,Used in,Creator,Executableformat(also seesectionbelow),Type,Integrated firewall,SMP support,Multiple architecturesupport(also seesection below).,Multitasking,Virtualization,Security,Profiling/Debugging,Soft real-time support,Hard real-time support,Can keep RTC in UT
Amiga Exec,,AmigaOS,Commodore International,HUNK,Exokernel (atypical),no,no,no,yes,no,no,yes,no,no,no
Amiga Exec SG (2nd Generation),,AmigaOS 4,Hyperion Entertainment,ELF/HUNK,Exokernel (atypical),no,no,no,yes,no,no,yes,no,no,dunno
DragonFly BSD kernel,C,DragonFly BSD,Matt Dillon,ELF,hybrid,PF,yes,no,yes," jail, vkernel",Unix permissions," DDB, KGDB",dunno,dunno,dunno
FreeBSD kernel,C," Debian GNU/kFreeBSD, Orbis OS",The FreeBSD Project," ELF, others - platform dependent",monolithic,PF,yes,yes,yes," jail, bhyve"," Unix permissions, POSIX.1e and NFSv4 ACLs, Capsicum, TrustedBSD MAC, OpenBSM"," KDB, DDB, KGDB, DTrace, hwpmc",yes,dunno,yes
GNU Hurd,C," GNU/Hurd (Arch Hurd, Debian GNU/Hurd)",GNU Project/Free Software Foundation,ELF,https://www.gnu.org/software/hurd/faq/multiserver_microkernel.htmlmultiserver microkernel,no,https://www.gnu.org/software/hurd/faq/smp.htmlpartial,no,yes," chroot, Xen"," Unix permissions, POSIX ACL, POSIX Capabilities",dunno,dunno,dunno,dunno
GNU Mach,C,part of GNU/Hurd,GNU Project/Free Software Foundation,ELF,microkernel,no,https://www.gnu.org/software/hurd/faq/smp.htmlpartial,no,yes," chroot, Xen"," Unix permissions, POSIX ACL, POSIX Capabilities",dunno,dunno,dunno,dunno
Inferno kernel,,Inferno,Bell Labs / Vita Nuova Holdings,dunno,virtual machine,dunno,yes,yes,yes," chroot, Xen",dunno,dunno,dunno,dunno,dunno
L4,,L4,Jochen Liedtke,no,microkernel,no,yes,yes,yes,yes,capabilities in L4/Fiasco,L4/Fiasco,L4/Fiasco,dunno,dunno
Linux kernel,C,"Android, Ubuntu, CentOS, webOS, Fire OS, Firefox OS, Chrome OS, Syllable Server, Mastodon Linux, OpenBSD/Linux, Plan 9/Linux, Sailfish OS, Tizen, amongst others.",Linus Torvalds," ELF, others",monolithic,*ipfwadm (2.0 –) * ipchains (2.2 –) * Netfilter (2.4 – 3.x) * nftables (3.13 –),yes,yes,yes," KVM, kvm-lite, LXC"," Unix permissions, POSIX ACL, POSIX Capabilities, keyctl, LSM(SMACK, TOMOYO Linux, AppArmor)"," KDB, perf tools",CONFIG_PREEMPT,(CONFIG_PREEMPT_RT Patch),yes
