[, Ebike Max Power
, ],
| BSR (''fork from Sturmey Archer''),|,|,| 3,| 178%,|,|,|,| ? g,| City,
| BWR,| 2009,|,| 3(x2),| 246% (302%),|,|,|,| 940 g,| City,
|City,|2019,|,|continuous,|310%,|250 w,|50 Nm,|n/a,|?,|City,
|Trekking,|2019,|,|continuous,|380%,|250 w,|75 Nm,|n/a,|?,|City/Trekking,
|Sportive,|2019,|,|continuous,|380%,|500 w,|120 Nm,|n/a,|?,|City/Trekking/Sport,
|Cargo,|2019,|,|continuous,|380%,|500 w,|80 Nm,|n/a,|?,|City/Cargo,
|Commercial,|2019,|,|continuous,|310%,|250 w,|50 Nm,|n/a,|?,|City,
|[[NuVinci Continuously Variable Transmission|NuVinci N380]],| 2015,|2018,| continuous,| 380%,|,|,| n/a,| 2450 g,| City,
| [[NuVinci Continuously Variable Transmission|NuVinci N360]],| 2010,|2014,| continuous,| 360%,|,|,| n/a,| 2450 g,| City,
|Nuvinci N330,|2015,|2018,|continuous,|330%,|,|,|n/a,|2450 gref name=":0" /,|City,
|[[NuVinci Continuously Variable Transmission|NuVinci N171]],| 2007,| 2010,| continuous,| 350%,|,|,| n/a,| 3850–3950 g,| City,
|XIV,|2016,|,|14,|543%,|,|150 Nm,|,|1400gref name=":1" /,|MTB and enduro,
| [[Rohloff Speedhub|Speedhub 500/14]],| 1998,|,| 14,| 526%,|,|130 Nm,|11th gear,| 1700-1825 g,| Sport Touring,
| [[Shimano Alfine|Alfine]] SG-700,| 2010,|,| 11,| 409%,|,|,|n/a,| 1600-1744 g,| City Sport,
| Alfine SG-500,| 2006,|,| 8,| 307%,|,|,|,| 1600 g,| City,
| [[Shimano Nexus Inter-8|Nexus Inter-8]],|,|,| 8,| 307%,|,|,| 5th gear,| 1550-2040 g,| City,
|[[Shimano Nexus Inter-7|Nexus Inter-7]],| 1995,|,| 7,| 244%,|,|,|,| 1465-1860 g,| City,
|Nexus Inter-5E,|2019,|,|5,|263%,|,|60 Nm,|1st gear,|1650 g,|City,
| Nexus 4 Speed,|,| ,| 4,| 184%,|,|,| 1st gear,|,| City,
|[[Shimano Nexus|Nexus Inter-3]],|,|,| 3,| 187%,|,|,| 2nd gear,| 1220 g,| City,
|[[Sachs Elan|Spectro E12]] (Elan),| 1995,| 1999,| 12,| 339%,|,|,|,| 3500-4000 g,| City,
|[[SRAM i-Motion 9|i-Motion 9]],| 2005,| 2012,| 9,| 340%,|,|,|,| 2000g (wo brake)-br2400g (with coaster brake),| City,
|[[SRAM G8|G8]],| 2012,| 2015,| 8,| 260%,|,|,|,| 2180 ,| City,
| G9,| 2014,| 2015,| 9,| 292%,|,|,|,|,| City Sport,
| Spectro S7 (Super 7),| 1993,| 2010,| 7,| 303% (Super 7: 284%),|,|,|4th gear,| 1645-1826 g,| City,
| Spectro P5 (Pentasport) P5 Cargo,| 1987,| 2010? ,| 5,| 224-251%,|,|,|3rd gear,| ,| City,
| Spectro T3/i-Motion 3/Torpedo Dreigangref name="cyclea2b.blogspot.com" /,| 1987,|,| 3,| 187%,|,|,|2nd gear,|,| City,
| Neos/Spectro 3x7,| 1994,| 2000,| 3(x7),| 186% (434%) ,|,|,|,|,| City,
| Torpedo Duomatic/Automatic,|,|,| 2,| 136%,|,|,|,|,| City,
|XRF-8 (W) XRK-8 (W) XRD-8 (W),|2014,|,|8,|325%,|,|,|1st Gear,|1770-2170 g,|City/Folding,
| XRF-8 X-R[F/D/K]8,| 2007,|2013,| 8,| 305%,|,|,|1st Gear,| 1480-1600 g,| City,
|RX-RF5 RX-RD5 RX-RK5 RX-RC5 RXL-RD5 TS-RF5,|2017,|,|5,|243%,|,|,|3rd Gear,|1905-2412 g,|City,
| S5AT5SABSprinter-5[S/X/XL]-R[C/D/F/K]5,| 1966,|,| 5,| 225-256%,|,|,|,| 1200-1760 g,| City,
|X-RF4 X-RK4 X-RD4,|2018,|,|4,|210%,|,|,|1st Gear,|1160-1630 g,|City/Folding,
| F[C/M/G/W],| 1935,| 1970,| 4,| 134-160%,|,|,|,| ? g,| City,
| A[BC/T3]AW[C]S[C3/SAB][S/X/XL]-R[F/S/F]3[http://www.ratrodbikes.com/forum/index.php?threads/sears-3-speed-model-503-21.26816/ SEARS 503.21],| 1933,|,| 3,| 178%,|,|,|,| 1000-1380 g,| City,
| [S/B]2[C] Duomatic,| 2010,|,| 2,| 138%,|,|,|,| 930-1400 g,| City,

,
