Name,Windows NT,Windows Mobile (incl.Pocket PC),FreeBSD,Linux,Mac OS X,NetBSD,OpenBSD,DragonFly BSD,Android,iOS
Aloaha Crypt Disk,yes,no,no,no,no,no,no,no,dunno,dunno
BestCrypt Volume Encryption,yes,no,no,no,yes,no,no,no,dunno,dunno
BitArmor DataControl,yes,no,no,no,no,no,no,no,dunno,dunno
BitLocker,yes,no,no,Partial,Partial,no,no,no,no,dunno
Bloombase Keyparc,yes,no,no,yes,yes,no,no,no,dunno,dunno
Boxcryptor,yes,no,no,yes,yes,no,no,no,yes,yes
CenterTools DriveLock,yes,no,no,no,no,no,no,no,dunno,dunno
CGD,no,no,no,no,no,yes,no,no,dunno,dunno
Check Point Full Disk Encryption,yes,yes,no,yes,yes,no,no,no,dunno,dunno
CipherShed,yes,no,no,yes,yes,no,no,no,yes,dunno
CrossCrypt,yes,no,no,no,no,no,no,no,no,dunno
CryFS,yes,no,yes,yes,yes,yes,no,yes,no,dunno
Cryhod,yes,no,no,yes,no,no,no,no,dunno,dunno
Cryptainer,yes,Yes,no,no,no,no,no,no,dunno,dunno
CryptArchiver,yes,no,no,no,no,no,no,no,dunno,dunno
Cryptic Disk,yes,no,no,no,no,no,no,no,no,no
Cryptoloop,yes,no,no,yes,no,no,no,no,dunno,dunno
[http://www.Cryptomator.org Cryptomator],yes,no,no,yes,yes,no,no,no,yes,yes
CryptoPro Secure Disk Enterprise,yes,no,no,no,no,no,no,no,no,dunno
CryptoPro Secure Disk for BitLocker,yes,no,no,no,no,no,no,no,no,dunno
Cryptsetup / Dmsetup," yes",no,no,yes,no,no,no,yes,dunno,dunno
CryptSync,yes,no,no,yes,yes,no,no,no,no,dunno
Discryptor,no,no,no,no,no,no,no,no,dunno,dunno
DiskCryptor,yes,no,no,no,no,no,no,no,dunno,dunno
DISK Protect,yes,no,no,no,no,no,no,no,dunno,dunno
Dm-crypt / LUKS,yes,no,yes,no,no,no,yes,dunno,dunno
[http://www.securstar.biz/ DriveCrypt],yes,no,no,no,no,no,no,no,dunno,dunno
DriveSentry GoAnywhere 2,yes,no,no,no,no,no,no,no,dunno,dunno
E4M,yes,no,no,no,no,no,no,no,dunno,dunno
e-Capsule Private Safe,yes,no,no,no,no,no,no,no,dunno,dunno
eCryptfs,no,no,no,yes,no,no,no,no,dunno,dunno
EgoSecure HDD Encryption,yes,no,no,no,no,no,no,no,dunno,dunno
EncFS,yes,yes,yes (FUSE),yes (FUSE)," yes",yes (FUSE),yes (FUSE),yes (FUSE)," yes",dunno
EncryptStick,Yes,no,no,yes,Yes,no,no,no,dunno,dunno
FileVault,no,no,no,no,yes,no,no,no,dunno,dunno
FileVault 2,no,no,no,partial,yes,no,no,no,dunno,dunno
FREE CompuSec,yes,no,no,no,no,no,no,no,dunno,dunno
FreeOTFE,yes,Yes,no,partial,no,no,no,no,no,dunno
GBDE,no,no,yes,no,no,no,no,no,dunno,dunno
GELI,no,no,yes,no,no,no,no,no,dunno,dunno
Knox,no,no,no,no,yes,no,no,no,dunno,dunno
LibreCrypt,yes,no,no,partial,no,no,no,no,yes,dunno
Loop-AES,no,no,no,yes,no,no,no,no,dunno,dunno
McAfee Drive Encryption (SafeBoot),yes,yes,no,no,yes,no,no,no,dunno,dunno
n-Crypt Pro,yes,no,no,no,no,no,no,no,dunno,dunno
[https://netlibsecurity.com/ NetLib Encryptionizer (directory encryption)],yes,no,no,no,no,no,no,no,no,no
PGPDisk,yes,no,no,no,yes,no,no,no,dunno,dunno
PGP Whole Disk Encryption,yes,yes,no,yes,yes,no,no,no,dunno,dunno
Private Disk,yes,no,no,no,no,no,no,no,dunno,dunno
ProxyCrypt,yes,no,no,no,no,no,no,no,no,dunno
R-Crypto,yes,no,no,no,no,no,no,no,dunno,dunno
SafeGuard Easy,yes,no,no,no,no,no,no,no,dunno,dunno
SafeGuard Enterprise,yes,no,no,no,yes,no,no,no,dunno,dunno
SafeGuard PrivateDisk,yes,no,no,no,no,no,no,no,dunno,dunno
SafeHouse Professional,yes,no,no,no,no,no,no,no,dunno,dunno
Scramdisk,yes,no,no,yes,no,no,no,no,dunno,dunno
Scramdisk 4 Linux,no,no,no,yes,no,no,no,no,dunno,dunno
SecuBox,no,yes,no,no,no,no,no,no,dunno,dunno
SecureDoc,yes,no,no,yes,yes,no,no,no,dunno,dunno
Sentry 2020,yes,no,no,no,no,no,no,no,dunno,dunno
Seqrite Volume Encryption,yes,no,no,no,no,no,no,no,no,no
Softraid / RAID C,no,no,no,no,no,no,yes,no,dunno,dunno
SpyProof!,yes,no,no,no,no,no,no,no,dunno,dunno
Svnd / Vnconfig,no,no,no,no,no,no,yes,no,dunno,dunno
Symantec Endpoint Encryption,yes,no,no,no,yes,no,no,no,dunno,dunno
Tcplay,no,no,no,yes,no,no,no,yes,no,dunno
Trend Micro Endpoint Encryption,yes,no,no,no,yes,no,no,no,no,dunno
TrueCrypt,yes,no,no,yes,yes,no,no,no," yes",dunno
USBCrypt,yes,no,no,no,no,no,no,no,no,dunno
VeraCrypt,yes,no,yes,yes,yes,no,no,no,yes,dunno
CyberSafe Top Secret,yes,no,no,no,no,no,no,no,yes,dunno
Name,Windows NT,Windows Mobile (incl. Pocket PC),FreeBSD,Linux,Mac OS X,NetBSD,OpenBSD,DragonFly BSD,Android,iOS
