Kernel name,ACLAsynchronous connection-oriented,SCOSynchronous connection-oriented,LMPLink management protocol,HCIHost/controller interface,L2CAPLogical link control and adaptation protocol,BNEPBluetooth network encapsulation protocol,RFComm.Radio frequency communication,SDPService discovery protocol,TCPTelephony control protocol,AVTCPAudio/visual control transport protocol,AVDTPAudio/visual data transport protocol,OBEXObject exchange,CMTP,HIDP,HCRP,CAPI,PPP
FreeBSD kernel,dunno,dunno,dunno,yes,yes,dunno,yes,yes,dunno,dunno,dunno,no,dunno,dunno,dunno,dunno,dunno
Linux,dunno,yes,dunno,yes,yes,yes,yes,dunno,dunno,dunno,dunno,dunno,yes,yes,dunno,dunno,dunno
macOS XNU Kernel,dunno,dunno,dunno,dunno,yes,dunno,yes,yes,dunno,dunno,dunno,no,dunno,dunno,dunno,dunno,dunno
Kernel name,ACL,SCO,LMP,HCI,L2CAP,BNEP,RFComm.,SDP,TCP,AVTCP,AVDTP,OBEX,CMTP,HIDP,HCRP,CAPI,PPP
