Country,Satellite,Transponders,Mass,Power,Year launched
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,NIGCOMSAT 1R (page does not exist),28," 5,150 kg (11,350 lb) ",10.5 kW,2011
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,ST-2,51," 5,090 kg (11,220 lb) ",,2011
//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,GSAT-16,48," 3,100 kg (6,800 lb) ",5.6 kW,2014
,GSAT-11,40," 5,854 kg (12,906 lb) ",13.6 kW,2018
