Model (Codename),Release Date,Microarchitecture &amp; Microarchitecture,Transistors &amp; Die Size,Core,,FillrateFillrateFillrateFillrate,,Processing powerGFLOPSGFLOPS (GFLOPS),,,Memory,,,,TBP,Bus interface
,,,,Config[e],ClockHertz (Hertz),Texture  (Texel (graphics)/s),Pixel  (Pixel/s),Half-precision floating-point format,Single precision floating-point format,Double precision floating-point format,Bus type &amp; width,Size  (Gibibyte),Clock  (Transfer (computing)),Bandwidth  (Gigabyte/s),,
Radeon Instinct MI6 (Polaris 10) [361][362][363][364][365],December 2016,Graphics Core Next 14 nm,5.7×109 232 mm2,2304:144:32 36 CU,1120  1233,177.6,39.46,5800,5800,358,GDDR5 256-bit,16,7000,224,150 W,PCI Express
Radeon Instinct MI8 (Fiji XT) [361][362][363][366][367],,Graphics Core Next 28 nm,8.9×109 596 mm2,4096:256:64 64 CU,1000,256.0,64.0,8200,8200,512,HBM 4096-bit,4,1000,512,175 W,
Radeon Instinct MI25 (Vega 10 XT)[361][362][363][368][369][370],,Graphics Core Next 14 nm,12.5×109 510 mm2,4096:256:64 64 CU,1400  1500,384,96.0,24600,12300,768,HBM2 2048-bit,16,1704,436.2,300 W,
" Radeon Instinct MI25 mxgpu (Prototype, June 2017)[371] ",,,Unreleased,2× 12.5×109 510 mm2,2× 4096:256:64 64 CU,1400  1500,2× 384,2× 96.0,2× 24600,2× 12300,,2× 768,,2× 16,2× 436.2,,300 W
Radeon Instinct MI50 (Vega 20 GL)[372][373][374][375],November 2018,Graphics Core Next 7 nm,13.2×109 331 mm2,3840:240:- 60 CU,1450  1746,419.04,-,26800,13400,6700,HBM2 4096-bit,16,2000,1024,300 W,PCI Express
Radeon Instinct MI60 (Vega 20 GL)[372][376][377],,,,4096:256:- 64 CU,1500  1800,460.8,-,29450,14725,7362.5,,32,,1024,300 W,
