Driver,802.11,Bus interface,Wired Equivalent Privacy,Wi-Fi Protected Access,Wi-Fi Protected Access,Monitor mode,Master mode,Ad-Hoc mode
acx," 802.11a?, 802.11a, 802.11a "," Cardbus, Cardbus ",Yes,?,?,?,?,Yes
an,802.11b," Cardbus, Cardbus, Cardbus ",Yes,?,?,?,?,Yes
arl,N/A,Industry Standard Architecture,?,?,?,?,?,?
ath," 802.11a, 802.11a, 802.11a, 802.11a "," Cardbus, Cardbus, Cardbus ",Yes,Yes,Yes,Yes,Yes,Yes
awi,N/A,PC Card,?,?,?,?,Yes,Yes
bwi," 802.11b, 802.11b "," Cardbus, Cardbus ",Yes,Yes,Yes,Yes,No,No
cnw,N/A,Cardbus,?,?,?,?,?,?
ipw,802.11b,Mini PCI,Yes,Yes,Yes,Yes,No,Yes
iwi," 802.11a, 802.11a, 802.11a ",Mini PCI,Yes,Yes,Yes,Yes,No,Yes
iwn," 802.11a, 802.11a, 802.11a, 802.11a ",Mini PCI,Yes,Yes,Yes,Yes,No,No
malo," 802.11b, 802.11b ",Peripheral Component Interconnect,Yes,Yes,Yes,Yes,No,No
mwl," 802.11a, 802.11a, 802.11a, 802.11a ",Peripheral Component Interconnect,Yes,Yes,Yes,Yes,Yes,No
ral," 802.11a, 802.11a, 802.11a "," Cardbus, Cardbus, Cardbus ",Yes,Yes,Yes,Yes,Yes,Yes
ray,N/A,PC Card,?,?,?,No,No,Yes
rum," 802.11a, 802.11a, 802.11a ",USB,Yes,Yes,Yes,Yes,Yes,Yes
run," 802.11a, 802.11a, 802.11a ",USB,Yes,Yes,Yes,Yes,Yes,Yes
uath," 802.11b, 802.11b ",USB,Yes,Yes,Yes,Yes,No,No
upgt," 802.11b, 802.11b ",USB,Yes,Yes,Yes,Yes,No,No
ural," 802.11b, 802.11b ",USB,Yes,Yes,Yes,Yes,Yes,Yes
urtw," 802.11b, 802.11b ",USB,Yes,Yes,Yes,Yes,No,No
wi,802.11b," PC Card, PC Card, PC Card ",Yes,Yes (since 8.0),Yes (since 8.0),Yes (since 8.0?),Yes,Yes
wpi," 802.11a, 802.11a, 802.11a ",Mini PCI,Yes,Yes,Yes,Yes,No,Yes
zyd," 802.11b, 802.11b ",USB,Yes,Yes,Yes,Yes,No,No
