No., Country, Spacecraft, Year
1, IMG Japan, Hiten/Hagoromo, 1990
2, IMG China, Chang'e 1, 2007
3, IMG India, Chandrayaan-1, 2008
TBD, IMG South Korea, Korea Pathfinder Lunar Orbiter, 2020 (Planned)
