Model,Launch,Code name,Semiconductor device fabrication (Semiconductor device fabrication),Transistors (million),Die size (mm2),Computer bus Computer bus,Core config1,Clock rate,,,Fillrate,,Memory configuration,,,,Supported Application programming interface version,,Processing power (GFLOPS)2,Thermal design power (Watts),Comments
,,,,,,,,Core (Hertz),Shader (Hertz),Memory (Hertz),Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Megabyte),Bandwidth (Gigabyte/s),DRAM type,Bus width (Bit),Direct3D,OpenGL,Single precision floating-point format,,
GeForce G 100," March 10, 2009 ",G98,TSMC 65 nm,210,86,PCIe 2.0 ×16,8:8:4,567,1400,500,2.15,4.3,512,8.0,DDR2,64,10.0,3.3,22.4,35,OEM products
GeForce GT 120,,G96b,TSMC 55 nm,314,121,,32:16:8,500,,800,4.4,8.8,,16.0,,128,,,89.6,50,
GeForce GT 130,,G94b,,505,196?[ Wikipedia:Citation needed ],,48:24:12,,1250,500,6,12,1536,24.0,,192,,,120,75,
GeForce GT 140,,,,,,,64:32:16,650,1625,1800,10.4,20.8,512 1024,57.6,GDDR3,256,,,208,105,
GeForce GTS 150,G92b,754,260,128:64:16,738,,1836,1000,11.808,47.232,1024,64.0,470,141,,,,
