Company,Software,On-demand scan,Real-time protection,Heuristic (computer science),Cloud computing,Firewall (computing),Intrusion Detection System,Intrusion prevention system,Email security,Antispam,Web protection,Live-Update,Support,Software license,Price,First release,Country of origin,Notes
AVG Technologies (Grisoft),AVG (software),Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Proprietary software,Non-free,2008,Czech Republic,
Cisco,Clam AntiVirus,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,GNU General Public License,Free,1998,United States,
Comodo Group,Comodo Internet Security,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Proprietary software,Free,2008,United States,
Dr. Web,Dr. Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Trialware,1992,Russia,
ESET,ESET File Security for Linux,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Proprietary software,Non-free,2008,Slovakia,
FRISK Software International,FRISK Software International,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Proprietary software,Trialware,1989,Iceland,
F-Secure,F-Secure,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Proprietary software,Non-free,2008,Finland,
Fortinet,Forticlient (page does not exist),Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Proprietary software,Free,2009,United States,
Kaspersky Lab,Kaspersky Anti-Virus,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Proprietary software,Non-free,2012,Russia,Banned by Federal government of the United States
Panda Security,Panda Security,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Non-free,2008,Spain,
Quick Heal,Quick Heal for Linux (page does not exist),Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Proprietary software,Non-free,2005,India,GoDeep.AI engine
Sophos,Sophos,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Free,2008,United Kingdom,
