Desktop publishing software,PDF,Encapsulated PostScript,SVG,TeX/TeX,HTML,Other
CorelDRAW,Yes,Yes,Yes,No,Yes," Adobe Photoshop, Adobe Photoshop, Adobe Photoshop, Adobe Photoshop "
Fatpaint,No,No,No,No,No," Jpg, Jpg "
Flare,Yes,No,No,No,Yes," DOC (computing), DOC (computing), DOC (computing) "
FrameMaker,Yes,Yes,No,No,Yes," DOC (computing), DOC (computing) "
InDesign,Yes,Yes,No,No,Yes," EPUB, EPUB, EPUB, EPUB "
InPage,No,Yes,No,No,No,GIF
IStudio Publisher,Yes,No,No,No,No," EPUB, EPUB "
LyX,Yes,No,No,Yes,Yes," PostScript, PostScript "
Microsoft Publisher,Yes,No,No,No,Yes," Jpg, Jpg, TIFF "
OpenOffice.org,Yes,Yes,Yes,No,Yes,Rich Text Format
PageMaker*,with Adobe Distiller,Yes,No,No,No,No
PagePlus,Yes,Yes,No,No,Yes,No
Pages (iWork),Yes,No,No,No,Yes," EPUB, EPUB "
QuarkXPress,Yes,Yes,No,No,Yes," EPUB, EPUB, EPUB, EPUB "
Scribus,Yes,Yes,Yes,Yes,Yes,List
The Print Shop,Yes,No,No,No,No,No
Corel Ventura*,Yes,Yes,No,No,No," Rich Text Format, Rich Text Format, Rich Text Format, Rich Text Format "
