Country,Spacecraft (engine),Power,Thrust,Specific impulse,Year
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,ETS-IV (Unnamed teflon Pulsed plasma thruster),20 W,,300s,1981
," Space Flyer Unit (EPEX, Space Flyer Unit) ",430 W,12.9 mN,600s,1995
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China," Dongfeng 5 (MDT-2A, teflon pulsed plasma thruster) ",5 W,,280s,1981
