John McCain,,Barack Obama,
John McCain voted for the Family and Medical Leave Act of 1993 which granted workers the right to take 12 weeks of unpaid leave for family medical reasons without being penalized by their employer. McCain sponsored the Family Friendly Workplace Act which sought to allow employers to provide more flexible work schedules to help balance work and family.Family and Medical Leave Act of 1993,,,
Chuck Baldwin,Bob Barr e,Cynthia McKinney,Ralph Nader
Impose a revenue Tariff on all foreign goods to keep jobs in America.Tariff,," Wants to repeal the anti-union Taft-Hartley Act.Taft-Hartley Act Supports Taft-Hartley Act and a Taft-Hartley Act for all workers. Supports justice for immigrant workers, and opposes guest-worker programs as riddled with abuses.Taft-Hartley Act Opposes 'free trade' agreements and unelected international trade authorities (NAFTA, CAFTA, WTO, GATT, 'Fast Track', etc.) that give corporate power and profit priority over labor rights and environmental protections; McKinney has voted against these agreements and advocates withdrawal. Human rights protections and amnesty for undocumented immigrants, an end to raids, and tearing down the border wall; believes the flood of new immigrants is a result of economic policies and agreements (e.g., NAFTA) that impoverish people and drive them across borders, and that immigration should be addressed by fixing these policies while ensuring worker rights and right to organize. Favors a strong safety net for middle- and low-income working people and families, with support for Main Street (small businesses and local economies) instead of Wall Street, and a massive transfer of federal funding from military contract and war spending to human needs.Taft-Hartley Act "," Nader promises to repeal the Taft-Hartley Act.Taft-Hartley Act He supports an increase in the minimum wage to $10 an hour to give low-wage workers ""a fair return for their work"".Taft-Hartley ActTaft-Hartley Act Nader supports Taft-Hartley Act and opposes large Taft-Hartley Act.Taft-Hartley Act He is credited with helping pass the Taft-Hartley Act (1977), Taft-Hartley Act (1989), and Taft-Hartley Act (1970) – all three are fundamental to modern labor protection.Taft-Hartley Act "
