Software,Microsoft Windows,Mac OS X,Linux,BSD,Unix,Internet Information Services,Apache HTTP Server,Notes
Connectbeam,Yes,No,No,No,No,Yes,No,none
Enterprise bookmarking,Yes,Yes,Yes,No,Yes,No,No,requires IBM WebSphere Application Server 6.1.0.13 for the web server
Jumper 2.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none
Knowledge Plaza,No,No,Yes,No,No,No,No,No OS management required. Infrastructure-as-a-Service for on-premises installation.
Scuttle (software),Yes,Yes,Yes,Yes,Yes,Yes,Yes,none
