Service,Tag (metadata)Tag (metadata),Groups,Conversation[Note 2],Private[Note 3],Private following list,RSS,Atom (standard),Bookmarklet
Tumblr,Yes,No,No,Yes,Yes,Yes,No,?
Facebook,Yes,Yes,Yes,Yes,?,Yes,No,?
Identi.ca / Identi.ca,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes[7]
Twitter,Yes,No,Yes,Yes,Yes,No[8],No[8],No
Mastodon Social,Yes,No,Yes,Yes,?,No,Yes,No
Misskey,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
Micro.blog,Yes,No,Yes,No,?,Yes,No,No
