Feature,Android (operating system),IOS,Tizen,Sailfish OS,Ubuntu Touch
Non-English languages support,Partial[202],Yes[203][204][205],Limited (Search is not diacritical mark-insensitive),Yes,Yes
Underlining Spell checker,2.3+[206][207],Yes[208],No,?,No
Built-in system-wide dictionary,Built into keyboard app. Available on every device.[209],5+[210],No,Yes,Yes
Autoexpanding text replacements,Yes,5+[211],?,?,?
Keyboard next word prediction," No,[212] 3rd party software[213]",8+[214],No,Yes,Yes
Keyboard cursor controller,Google Keyboard;[215];[216],12+;3D Touch 9-11: Only on devices with 3D Touch;3D Touch,No,No,Yes
Optical character recognition input method,No[219],11+: Notes (software) app;Notes (software) 8+: Only for inputting credit card detailsNotes (software),No,No,No
Third party Input method,Yes[222],8+,?,?,?
Gesture text input,4+[223],13+;SwiftKey 8+: 3rd party software like SwiftKey,?,No[225],No
Emoji support,4.4+[226],Yes[227],?,2.2.0+[228] 3rd party software[229],Yes
