Name,Parsing algorithm,Input grammar notation,Programming language," Grammar, code",Lexical analyzer,Development platform,Integrated development environment,Software license
ANTLR4,LL parser(*)LL parser,Extended Backus–Naur form," C Sharp (programming language), C Sharp (programming language), C Sharp (programming language), C Sharp (programming language), C Sharp (programming language), C Sharp (programming language), C Sharp (programming language), C Sharp (programming language)",Separate,generated,Java virtual machine,Yes," Free, BSD licenses "
ANTLR3,LL parser(*),Extended Backus–Naur form," ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript, ActionScript",Mixed,generated,Java virtual machine,Yes," Free, BSD licenses "
APG," Recursive descent, Recursive descent",ABNF," C (programming language), C (programming language), C (programming language), C (programming language)",Separate,none,All,No," Free, GNU General Public License "
AXE,Recursive descent,AXE/C++," C++17, C++17",Mixed,none,Any with C++17 or C++17 standard compiler,No," Free, Boost Software License "
Beaver,LALR parser(1),Extended Backus–Naur form,Java (programming language),Mixed,external,Java virtual machine,No," Free, BSD licenses "
Belr,Recursive descent,ABNF," C++17, C++17",Separate,included,POSIX,No," Partial, GNU General Public License, GNU General Public License "
GNU Bison," LALR parser(1), LALR parser(1), LALR parser(1), LALR parser",Yacc," C (programming language), C (programming language), C (programming language)",Mixed,external,All,No," Free, GNU General Public License with exception "
Bison++[note 1],LALR parser(1),?,C++,Mixed,external,POSIX,No," Free, GNU General Public License "
Bisonc++,LALR parser(1),?,C++,Mixed,external,POSIX,No," Free, GNU General Public License "
BtYacc,Backtracking Backtracking,?,C++,Mixed,external,All,No," Free, Public domain "
Berkeley Yacc,LALR parser(1),Yacc,C (programming language),Mixed,external,All,No," Free, Public domain "
BYACC/J,LALR parser(1),Yacc," C (programming language), C (programming language)",Mixed,external,All,No," Free, Public domain "
CL-Yacc,LALR parser(1),Lisp (programming language),Common Lisp,Mixed,external,All,No," Free, MIT License "
Coco/R,LL parser(1),Extended Backus–Naur form," C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language), C (programming language)",Mixed,generated," Java virtual machine, Java virtual machine, Java virtual machine, Java virtual machine (depends on output language)",No," Free, GNU General Public License "
CookCC,Canonical LR parser(1),Java annotations,Java (programming language),Mixed,generated,Java virtual machine,No," Free, Apache License 2.0 "
CppCC,LL parser(k),?,C++,Mixed,generated,POSIX,No," Free, GNU General Public License "
CSP,Canonical LR parser(1),?,C++,Separate,generated,POSIX,No," Free, Apache License 2.0 "
CUP,LALR parser(1),?,Java (programming language),Mixed,external,Java virtual machine,No," Free, BSD licenses-like "
Dragon," Canonical LR parser(1), Canonical LR parser(1)",?," C++, C++",Separate,generated,All,No," Free, GNU General Public License "
eli,LALR parser(1),?,C (programming language),Mixed,generated,POSIX,No," Free, GNU General Public License, GNU General Public License "
Essence,LR parser(?),?,Scheme 48,Mixed,external,All,No," Free, BSD licenses "
eyapp,Canonical LR parser(1),?,Perl,Mixed,external or generated,All,No," Free, Artistic License "
Frown,LALR parser(k),?,Haskell (programming language),Mixed,external,All,No," Free, GNU General Public License "
geyacc,LALR parser(1),?,Eiffel (programming language),Mixed,external,All,No," Free, MIT License "
GOLD (parser),LALR parser(1),BNF," X86 assembly language, X86 assembly language, X86 assembly language, X86 assembly language, X86 assembly language, X86 assembly language, X86 assembly language, X86 assembly language, X86 assembly language 6, X86 assembly language, X86 assembly language",Separate,generated,Microsoft Windows,Yes," Free, Zlib License modified "
GPPG,LALR parser(1),Yacc,C Sharp (programming language),Separate,external,Microsoft Windows,Yes," Free, BSD licenses "
Grammatica,LL parser(k),BNF dialect," C Sharp (programming language), C Sharp (programming language)",Separate,generated,Java virtual machine,No," Free, BSD licenses "
HiLexed,LL parser(*),EBNF or Java,Java (programming language),Separate,internal,Java virtual machine,No," Free, GNU Lesser General Public License "
Hime Parser Generator," LALR parser(1), LALR parser",BNF dialect," C Sharp (programming language), C Sharp (programming language), C Sharp (programming language)",Separate,generated," .NET Framework, .NET Framework",No," Free, GNU Lesser General Public License "
Hyacc,Canonical LR parser(0),Yacc,C (programming language),Mixed,external,All,No," Free, GNU General Public License "
iyacc,LALR parser(1),Yacc,Icon (programming language),Mixed,external,All,No," Free, GNU Lesser General Public License "
jacc,LALR parser(1),?,Java (programming language),Mixed,external,Java virtual machine,No," Free, BSD licenses "
JavaCC,LL parser(k),Extended Backus–Naur form," Java (programming language), Java (programming language), Java (programming language) (via Java (programming language) compiler)Java (programming language)",Mixed,generated,Java virtual machine,Yes," Free, BSD licenses "
jay,LALR parser(1),Yacc," C Sharp (programming language), C Sharp (programming language)",Mixed,none,Java virtual machine,No," Free, BSD licenses "
JFLAP," LL parser(1), LL parser(1)",?,Java (programming language),?,?,Java virtual machine,Yes,?
JetPAG,LL parser(k),?,C++,Mixed,generated,All,No," Free, GNU General Public License "
JS/CC,LALR parser(1),Extended Backus–Naur form," JavaScript, JavaScript, JavaScript",Mixed,internal,All,Yes," Free, BSD licenses "
KDevelop-PG-Qt," Recursive descent parser(1), Recursive descent parser, Recursive descent parser",?,C++,Mixed,generated or external," All, KDE",No," Free, GNU Lesser General Public License "
Kelbt,Backtracking Backtracking(1),?,C++,Mixed,generated,POSIX,No," Free, GNU General Public License "
kmyacc,LALR parser(1),?," C (programming language), C (programming language), C (programming language), C (programming language)",Mixed,external,All,No," Free, GNU General Public License "
Lapg,LALR parser(1),?," C (programming language), C (programming language), C (programming language), C (programming language), C (programming language)",Mixed,generated,Java virtual machine,No," Free, GNU General Public License "
Lemon (parser generator),LALR parser(1),?,C (programming language),Mixed,external,All,No," Free, Public domain "
Lime,LALR parser(1),?,PHP,Mixed,external,All,No," Free, GNU General Public License "
LISA," LR parser(?), LR parser(?), LR parser(?), LR parser(?)",?,Java (programming language),Mixed,generated,Java virtual machine,Yes," Free, Public domain "
LLgen,LL parser(1),?,C (programming language),Mixed,external,POSIX,No," Free, BSD licenses "
LLnextgen,LL parser(1),?,C (programming language),Mixed,external,All,No," Free, GNU General Public License "
LLLPG,LL parser(k) + LL parser and semantic predicates,ANTLR-like,C Sharp (programming language),Mixed,generated (?)," .NET Framework, .NET Framework",Microsoft Visual Studio," Free, GNU Lesser General Public License "
LPG,Backtracking Backtracking(k),?,Java (programming language),Mixed,generated,Java virtual machine,No," Free, Eclipse Public License "
LRX parser generator," LALR parser(*), LALR parser(*)"," YACC, ANTLR, EBNF",C++,separated,generated,Windows,Microsoft Visual Studio,BSD licenses
Menhir,Canonical LR parser(1),?,OCaml,Mixed,generated,All,No," Free, Q Public License "
ML-Yacc,LALR parser(1),?,ML (programming language),Mixed,external,All,No,?
Monkey,Canonical LR parser(1),?,Java (programming language),Separate,generated,Java virtual machine,No," Free, GNU General Public License "
Msta," LALR parser(k), LALR parser(k)"," YACC, YACC"," C (programming language), C (programming language)",Mixed,external or generated," POSIX, POSIX",No," Free, GNU General Public License "
MTP (More Than Parsing),LL parser(1),?,Java (programming language),Separate,generated,Java virtual machine,No," Free, GNU General Public License "
MyParser,LL parser(*),Markdown,C++11,Separate,internal,Any with standard C++11 compiler,No," Free, MIT License "
NLT,GLR parser,C Sharp (programming language)/C Sharp (programming language)-like,C Sharp (programming language),Mixed,mixed,.NET Framework,No," Free, MIT License "
ocamlyacc,LALR parser(1),?,OCaml,Mixed,external,All,No," Free, Q Public License "
olex,LL parser(1),?,C++,Mixed,generated,All,No," Free, GNU General Public License "
