Model (Codename),Launch,Microarchitecture (Microarchitecture),Transistors Die Size,Core,,FillrateFillrateFillrateFillrate,,Processing powerGFLOPSGFLOPS (GFLOPS),,,Memory,,,,TBP,Bus interface,Release Price (USD)
,,,,Config[e],ClockHertz (Hertz),Texture (Texel (graphics)/s),Pixel (Pixel/s),Half-precision floating-point format,Single precision floating-point format,Double precision floating-point format,Bus type &amp; width,Size (Gibibyte),Clock (Transfer (computing)),Band- width (Gigabyte/s),,,
Radeon Vega Frontier Edition (Air Cooled)[291][292],27 June 2017,Graphics Core Next (14 nm),12.5×109 484 mm2,4096:256:64,1382,409.6,102.4,22643,11321,707.6,HBM2 2048-bit,16,1890,483.8,300 W,PCIe 3.0 ×16,$999
Radeon Vega Frontier Edition (Liquid Cooled)[291][292],,,,,1600,,,26214,13107,819.2,,,,,350 W,,$1499
