Shell,String processing,Alternation (string expansion) (Alternation (string expansion)),Pattern matching (Regular expression built-in),Pattern matching (filename Glob (programming)),Globbing qualifiers (filename generation based on file attributes),Recursive globbing (generating files from any level of subdirectories)
Bourne shell 1977 version,?,No,No," Yes (*, ?, [...]) ",No,No
Bourne shell recent version,Partial (prefix and suffix stripping in variable expansion),No,No," Yes (*, ?, [...]) ",No,No
POSIX shell,Partial (prefix and suffix stripping in variable expansion),No,No," Yes (*, ?, [...]) ",No,No
Bash (Unix shell) (v4.0),Partial (prefix and suffix stripping in variable expansion),Yes,Yes," Yes (*, ?, [...], {...}) ",No,Yes (**/...)
C shell,Yes (:s and other editing operators),Yes,No,Yes,No,No
Tcsh,Yes (:s and other editing operators),Yes,Yes,Yes,No,No
Hamilton C shell," Yes (:s and other editing operators + substr, strlen, strindex, printf, reverse, upper, lower, concat and other builtin functions) ",Yes,No,Yes,No," Yes (via indefinite directory ""..."" wildcard[48]) "
Scsh,?,?,Yes,Yes,No,No
Korn Shell (ksh93t+)," Partial (prefix, suffix stripping and string replacement in variable expansion) ",Yes[49],Yes," Yes (*, ?, [...]) ",No," Yes (with set -G, no following of symlinks) "
Pdksh,?,Yes[49],No,Yes,No,No
Zsh," Yes (through variable processing: e.g. substring extraction, various transformations via parameter expansion) ",Yes,Yes," Yes (*, ?, [...], Extended globbingExtended globbing) ",Yes,Yes (**/... or ***/... to follow symlinks)
Almquist shell,?,?,No,Yes,No,No
CCP (CP/M),No,No,No,No,No,No
COMMAND.COM,No,No,No," Yes (*, ?) ",No,No
OS/2 CMD.EXE,No,No,No," Yes (*, ?) ",Partial (only in DIR /A:... command),No
Windows CMD.EXE,Partial (only through FOR /F and SET /A),No,No[nb 17]," Yes (*, ?) ",Partial (only in DIR /A:... command)," Yes (via FOR /R command, or, where available, indirectly via /S subdir option) "
4DOS," Yes (through variable functions %@...[], extended environment variable processing, various string commands and FOR /F and SET /A) ",No,No," Yes (*, ?, [...], Extended wildcards, SELECT popup command) "," Yes (via /A:... attribute and /I""..."" description options and /[S...] size, /[T...] time, /[D...] date, and /[!...] file exclusion ranges) "," Yes (via FOR /R command, or indirectly via GLOBAL command or, where available, /S subdir option) "
4OS2,?,No,No,?,?,?
Take Command Console (formerly 4NT)," Yes (through variable functions %@...[], extended environment variable processing, various string commands and FOR /F and SET /A) ",No,Yes," Yes (*, ?, [...], Extended wildcards, SELECT popup command) "," Yes (via /A:... attribute and /I""..."" description options and /[S...] size, /[T...] time, /[D...] date, /[O...] owner, and /[!...] file exclusion ranges) "," Yes (via FOR /R command, or indirectly via GLOBAL command or, where available, /S subdir option) "
Windows PowerShell," Yes (Concat/Substring/Insert/Remove/Replace, ToLower/ToUpper, Trim/TrimStart/TrimEnd, Compare, Contains/StartsWith/EndWith, Format, IndexOf/LastIndexOf, Pad/PadLeft/PadRight, Split/Join, regular expression functions and other .NET string functions) ",No,Yes (full regex support)[nb 18]," Yes (*, ?, [...]) ",?,?
Rc,?,?,No,Yes,No,No
BeanShell,?,?,Yes,?,?,?
DIGITAL Command Language,Yes,No,No,Yes,No,Yes (via [SUBDIR...])
Friendly interactive shell,Yes (builtin string function),Yes,yes (via builtin string match and string replace functions)," Yes (*, ?, {...}) ",No,Yes (**/...)
