ADC hub,Graphical user interface,Command-line interface,Other,Programming language,Based on
ADCH++,No,Yes,?," C++, C++, C++, C++ ",
ADCH++ GUI,Yes,No,?," C++, Python ",ADCH++
DSHub,Yes,Yes,?," Java (programming language), Python ",
FlexHub,Planned,Yes,?,Lua,
Luadch,No,Yes,?," C++, C++ ",
Luadch GUI,Yes,No,?,wxLua,
Nexthub,Yes,No,No,C Sharp (programming language),
uhub,No,Yes,?,C (programming language),
Erlhub,?,?,?,Erlang (programming language),
Qhub,?,?,?,?,
Starlet ADC Hub,No,Yes,No,C (programming language),
StarHub,Yes,?,?,Java,
RusHub,No,Yes,No,C++,
ADC hub,GUI,CLI,Other,Programming language,Based on
