Country,Motorways,Expressways,Primary roads,,Secondary roads,Regional destinations,Local destinations,Tourist signs,Temporary Detour
outside urban area,,,,,,
,,,Road signs in Austria,Salzburg,Wien,Villach,,n/a,Salzkammergut[c 1],,,Umleitung
Road signs in the Czech Republic,BRNO,PRAHA,VYŠKOV,,n/a,SLOVANY,Letiště,Hrad Bouzov,PRAHA
Road signs in Denmark,Aarhus,Aarhus,Skanderborg,,,,Stadion,Himmelbjerget,Nakskov
Road signs in Finland,HELSINKI HELSINGFORS,LAPPEENRANTA,PORVOO BORGÅ,,n/a,KYMINLINNA,Kirjasto,Hiidenkivi,TURKU
Road signs in France,PARIS,MARSEILLE,BEAUVAIS[c 2],TOULON,LA CHAPPELLE,n/a,Gare S.N.C.F.,PARC NATUREL,Déviation
Road signs in Germany,Hamburg,Freiburg,Lübeck,,n/a,,Bahnhof,Burg Eltz,Umleitung
Road signs in Greece,Θεσσαλονίκη Thessaloniki,Πάτρα Patra,ΑΘΗΝΑ ΑΤΗΙΝΑ,,n/a,,Κέντρο,Ακρόπολη Akropolis,
Road signs in Ireland,Áth Cliath DUBLIN,n/a,Tulach Mhór TULLAMORE[c 3],,n/a,Guaire GOREY[c 4],,HEYWOOD,
Road signs in Italy,VENEZIA,UDINE,BERGOSOLE,,n/a,,aeroporto,Colfosco,deviazione
Road signs in Switzerland and Liechtenstein,(CH) St. Gallen,(CH) Chur,Schaan,,Vaduz,n/a,Bahnhof,Burg,Umleitung
Road signs in Lithuania,KLAIPĖDA,KAUNAS,VILNIUS,,n/a,,CENTRAS,,Apylanka
Road signs in the Netherlands,Amsterdam,Den Haag,Woerden,,n/a,,Centrum,,OMLEIDING Volg A[c 5]
Road signs in Norway,Nannestad,Lillestrøm,Trondheim,,n/a,,Sykehus,Kvitsand,
Road signs in Poland,Wrocław,Poznań,Opole,,n/a,,Stacja,Kraków,Objazd
Road signs in Portugal (page does not exist),Lisboa,n/a,Portalegre,,Póvoa de Varzim,ALGARVE[c 6],centro,castelo,Desvio
Road signs in Romania (page does not exist),București,n/a,Pitești,,n/a,n/a,Centru,Castelul Bran,Ocolire
Road signs in Slovakia (page does not exist),Košice,Nitra,Bratislava,,,,Centrum,Hrad,obchádzka
Road signs in Sweden,GÖTEBORG,STOCKHOLM,FALUN,,n/a,NORRMALM,Vårdcentral,Långe Erik,
Road signs in Switzerland and Liechtenstein,Basel,Chiasso,Moudon,,Ftan,n/a,Gare CFF,Castello,Umleitung Déviation Deviazione
Road signs in Spain (page does not exist),Villalba[c 7],Córdoba[c 8],Oviedo[c 9],PINTO[c 10],BADAJOZ,n/a,centro,Navacerrada,DESVÍO
Road signs in the United Kingdom,Nottingham M1,n/a,Holyhead A55,,Aylesbury,The NORTH[c 11],Village Hall,Thorpe Park,Diversion
Road signs in Åland (page does not exist),n/a,n/a,LÅNGNÄS,,n/a,KLINTEN,Centralsjukhuset,Bomarsund,KATTBY
