, 2011[163], 2012[164], 2013[165], 2014[166], 2015[167], 2016[168], 2017[169], 2018[170], 2019[171], Total
IMG China, 19, 19, 15, 16, 19, 22, 18, 39, 34, 201
IMG India, 3, 2, 4, 5, 5, 7, 5, 7, 6, 44
IMG Japan, 3, 2, 3, 4, 4, 4, 7, 6, 2, 35
IMG Iran, 1, 3, 1, -, 1, -, 1, -, 3, 10
IMG North Korea, -, 2, -, -, -, 1, -, -, -, 3
IMG Israel, -, -, -, 1, -, 1, -, -, -, 2
IMG South Korea, -, -, 1, -, -, -, -, -, -, 1
Total, 26, 28, 24, 26, 29, 35, 31, 52, 45, 296
