Kernel,Advanced Disc Filing System,Amiga FFS,BeFS,Boot File System,Cramfs,Extent File System,Ext2,Ext3,Ext4,F2FS,File Allocation Table,FreeVxFS (page does not exist),Hierarchical File System,HFS+,High Performance File System,ISO 9660,JFFS,JFFS2,IBM Journaled File System 2 (JFS2),MINIX file system,Novell Storage Services,NTFS,OCFS,QNX4 FS,System V FS (page does not exist),Universal Disk Format,Unix File System,XFS,ZFS,ReiserFS,Reiser4,Btrfs,HAMMER (file system),Tux3,ExFAT,ReFS
DragonFly BSD,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,limited write,No,No,No,read only,Yes,No,No,No,No,No,Yes,No,No,No
FreeBSD,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,limited write,No,No,No,Yes,Yes,read only,Yes,read only,No,No,No,No,?,No
Linux kernel,Yes [24],Yes,read only,Yes,Yes,read only,Yes,Yes,Yes,Yes,Yes,read only,Yes,limited write (only with empty journal),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes (Full R/W with additional userspace driver)[25],Yes,Yes [24] [26],write support?,Yes,Yes [24],Yes,both FUSE and native,Yes,Yes,Yes,No,Yes,Yes,No
MINIX 3,No,No,No,No,No,No,Yes,No,No,No," Tools available, cannot mount ",No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Novell NetWare,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,?,No
ReactOS,No,No,No,No,No,No,Yes [27],Yes [27],Yes [27],No,Yes [27],No,No,No,No,Yes [27],No,No,No,No,No,Read only,No,No,No,Yes [27],No,No,No,No,No,Yes [28],No,No,No,No
Solaris (operating system),?,?,?,?,?,?,Yes,?,?,?,Yes,?,?,?,?,Yes,?,?,?,?,No,No,?,?,?,Yes,Yes,?,Yes,No,No,No,No,No,?,No
Architecture of Windows NT,?,?,?,?,?,?,Yes [29],Yes [30],Yes [30],No,Yes,?,Yes [31],Yes [31],No,Yes,?,?,?,?,No,Yes,?,?,?,Yes,?,?,No,No,No,Yes [28],No,No,Yes,Yes
XNU,No,No,No,No,No,No,Yes [32],Yes [32],No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Read-Only,No,No,No,Yes,Yes,No,read only,No,No,No,No,No,Yes,No
