Company,Software,On-demand scan,Real-time protection,Firewall (computing),Antispam,Web protection,AntiTheft,Call/SMS Filtering,Backup,Parental Control,Support,Software license,Price,First release,Country of origin,Notes
Dr. Web,Dr. Web,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Trialware,2006,Russia,
ESET,NOD32,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Proprietary software,Non-free,2010,Slovakia,
Kaspersky Lab,Kaspersky Mobile Security,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Proprietary software,Non-free,2008,Russia,Banned by Federal government of the United States
Seqrite,MSuite MDM (page does not exist),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Proprietary software,Non-free,1994,India,
