Feature,VC-1,H.264
Partition sizes,16×16 and 8×8[9]," 16×16, 16×8, 8×16, 8×8, 8×4, 4×8, and 4×4 "
Integer transform (page does not exist)," 8×8, 4×8, 8×4, and 4×4",4×4; 8×8 available in High Profile only
Film frame,Used for progressive or interlaced content,
Macroblock sizes,16×16 only,
Motion vector,Two dimensional vector offset from current position to Reference frame (video),
Picture,A field or frame,
Skipped macroblock,No data is encoded for macroblock,
