Application,Latest release date  and version,Developed by,Platforms,Mainly Used For,License
Bryce (software),2010-12-23  7.1.0.109,DAZ 3D," Microsoft Windows (32-bit), Microsoft Windows (10.7 and above) "," Animation, Landscape Modeling, Fractal Geometry ",Proprietary software
Sculptris,2011-07-22  v Alpha 6,Pixologic," Mac OS X, Mac OS X "," Sculpting, Texturing ",Proprietary software
Autodesk Softimage," 2014-04-14  ""2015"" (Final Release) ",Autodesk," Microsoft Windows, Microsoft Windows "," Modeling, Animation, Video Game Creation, Lighting, Rendering, Visual 3d Effects ",Proprietary software
SketchUp,2017-11-14 [5] v 18.0.16975 (Win64)  v 18.0.16976 (Mac64),Trimble Navigation," Mac OS X, Mac OS X "," Modeling, Computer Aided Design ",Proprietary software
TrueSpace,2009-05-25  v 7.61,Caligari Corporation," Microsoft Windows, Microsoft Windows "," Animation, Modeling ",Proprietary software
