Model[Edit section: Model],Microprocessor,Computer memory,Front-side bus,Computer data storage,Revolutions per minute,Graphics processing unit,Dynamic random access memory,Display resolution,Suggested retail price
Mac MiniMac Mini,1.4 Gigahertz dual-core Gigahertz,4 Gigabyte,5 Gigatransfer,500 GB Hard disk drive,5400,Intel Intel Graphics 5000,1.5 GB shared,N/A,$499 (USD) / $599 (CAD) / £479 (GBP) / €549 (EUR) / $779 (AUD)
IMac 21.5 inchIMac,1.6 GHz dual-core Intel Core i5,8 GB,5 GT/s,1 Terabyte HDD,5400,Intel HD Graphics 6000,1.5 GB shared,1920 × 1080,$1099 (USD) / $1399 (CAD) / £1049 (GBP) / €1249 (EUR) / $1699 (AUD)
IMac 21.5 inch with 4K IMacIMac,3.1 GHz dual-core Intel Core i5,8 GB,5 GT/s,1 TB HDD,5400,Intel Iris Pro Graphics 6200,1.5 GB shared,4096 × 2304,$1499 (USD) / $1899 (CAD) / £1449 (GBP) / €1699 (EUR) / $2299 (AUD)
IMac 27 inch with 5K Retina DisplayIMac,3.2 GHz quad-core Intel Core i5,8 GB,5 GT/s,1 TB HDD,5400,AMD Radeon R9 M380,2 GB,5120 × 2880,$1799 (USD) / $2299 (CAD) / £1749 (GBP) / €2099 (EUR) / $2799 (AUD)
Mac Pro Quad-CoreMac Pro,3.7 GHz Quad-core Ivy Bridge (microarchitecture),16 GB,5 GT/s,256 GB PCIe-based flash storage,N/A,Dual AMD FirePro D300,2 GB each,N/A,$2999 (USD) / $3499 (CAD) / £2999 (GBP) / €3399 (EUR) / $4899 (AUD)
Mac Pro 6-CoreMac Pro,3.5 GHz 6-core Xeon E5,16 GB,5 GT/s,256 GB PCIe-based flash storage,N/A,Dual AMD FirePro D500,3 GB each,N/A,$3999 (USD) / $4699 (CAD) / £3899 (GBP) / €4599 (EUR) / $6499 (AUD)
