Rank,Country,U.S. equivalents,GDP(Billions of Int$)
1,China China China,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States United StatesUnited States,25.398
2,India India,California California California California California California California California California California California California,11.321
3,Japan Japan,California California California California California California California California," 5,429 "
4,Germany Germany  (Germany),California California California California California California," 4,170 "
5,Russia Russia,California California California California," 4,007 "
6,Indonesia Indonesia,California California California California," 3,244 "
7,Brazil Brazil,California California California California," 3,240 "
8,United Kingdom United Kingdom,California California California California California California," 2,914 "
9,France France  (France),California California California California," 2,836 "
10,Mexico Mexico,Texas Texas Texas Texas," 2,458 "
11,Italy Italy  (Italy),Texas Texas Texas Texas Texas Texas," 2,311 "
12,Turkey Turkey,Texas Texas Texas Texas," 2,173 "
13,South Korea South Korea,Texas Texas Texas Texas," 2,029 "
14,Spain Spain  (Spain),Texas Texas Texas Texas," 1,774 "
15,Saudi Arabia Saudi Arabia,Texas Texas Texas Texas," 1,774 "
16,Canada Canada,Texas Texas Texas Texas," 1,769 "
17,Iran Iran,New York (state) New York (state) New York (state) New York (state)," 1,645 "
18,Australia Australia,Florida Florida Florida Florida," 1,247 "
19,Thailand Thailand,Florida Florida Florida Florida," 1,234 "
20,Egypt Egypt,Florida Florida Florida Florida," 1,201 "
21,Taiwan Taiwan,Florida Florida Florida Florida," 1,186 "
22,Poland Poland  (Poland),Florida Florida Florida Florida," 1,121 "
23,Nigeria Nigeria,Florida Florida Florida Florida," 1,119 "
24,Pakistan Pakistan,Pennsylvania Pennsylvania Pennsylvania Pennsylvania," 1,255 "
25,Malaysia Malaysia,Illinois Illinois Illinois Illinois,931
26,Argentina Argentina,Illinois Illinois Illinois Illinois,920
27,Netherlands Netherlands  (Netherlands),Illinois Illinois Illinois Illinois,916
28,Philippines Philippines,Illinois Illinois Illinois Illinois,876
29,South Africa South Africa,Ohio Ohio Ohio Ohio,766
30,Colombia Colombia,Ohio Ohio Ohio Ohio,714
31,Bangladesh Bangladesh,Ohio Ohio Ohio Ohio,687
32,United Arab Emirates United Arab Emirates,Ohio Ohio Ohio Ohio,687
33,Iraq Iraq,Ohio Ohio OhioOhio,659
34,Vietnam Vietnam,New Jersey New Jersey New Jersey New Jersey,647
35,Algeria Algeria,North Carolina North Carolina,633
36,Belgium Belgium  (Belgium),Massachusetts Massachusetts,529
37,Singapore Singapore,Massachusetts Massachusetts,527
38,Sweden Sweden  (Sweden),Virginia Virginia,521
39,Switzerland Switzerland,Virginia Virginia,517
40,Romania Romania  (Romania),Maryland Maryland Maryland Maryland,482
41,Kazakhstan Kazakhstan,Maryland Maryland Maryland Maryland,478
42,Hong Kong Hong Kong,Maryland Maryland Maryland Maryland,455
—,Chile Chile,Maryland Maryland Maryland Maryland,451
43,Austria Austria  (Austria),Maryland Maryland Maryland Maryland,440
44,Peru Peru,Indiana Indiana Indiana Indiana,424
45,Venezuela Venezuela,Indiana Indiana,381
46,Norway Norway,Indiana Indiana,381
47,Czech Republic Czech Republic  (Czech Republic),Indiana Indiana,376
48,Ukraine Ukraine,Indiana Indiana,369
49,Qatar Qatar,Tennessee Tennessee,348
50,Republic of Ireland Republic of Ireland  (Republic of Ireland),Colorado Colorado,344
