,Trident (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine),Prince XML,Antenna House Formatter
XLinkXLink,5.0,Partial[note 2],No[w 2],No,Partial,Partial[note 3],Partial[a 2]
XML BaseXML Base,No,1.0,No[w 3],Yes,Yes,6.0,Yes[a 3]
XPointerXPointer,?,Partial,No[w 4],No,No,?,No
