,Datatype,Method (computer science),Inheritance (object-oriented programming),Table inheritance
CUBRID,Yes,Yes,Yes,Yes
Oracle database,Yes,Yes[Note 1],Yes,Yes
Virtuoso Universal Server,Yes,Yes,Yes,Yes
PostgreSQL,Yes,Yes,Yes,Yes
Informix,Yes,Yes,Yes,Yes
Wakanda (software),Yes,Yes,Yes,Yes
