,Version,Operating systems,Office suite,Developer,Software license,ECMA-376,ISO/IEC 29500:2008,Notes
Butler Office Pro X,2.2.0[11],Mac OS X,Butler Office Pro X,Butler Software Solutions,Proprietary software,Yes,,Full support via email
DataViz DataViz,11.000[12]," Palm OS, Palm OS, Palm OS (Palm OS, Palm OS) ",Documents To Go,DataViz,Proprietary software,Yes,,
EIOffice Presentation," 2009, 5.0.1272.101[13] "," Windows, Linux ",EIOffice,Evermore Software (page does not exist),Proprietary software,Yes,,Import only[13]
Go-oo Impress,3.0.0[14]," Windows, Linux, Unix, Mac OS X ",Go-oo,Free software community," LGPL, LGPL ",Yes,,Import only
IBM Lotus Symphony,1.3[16]," Windows, Mac OS X, Linux ",IBM Lotus Symphony,IBM,Proprietary software,Yes,,Import only
Keynote (presentation software),'08[38],Mac OS X,IWork,Apple Inc.,Proprietary software,Yes,,
LibreOffice,All versions," Windows, OS X, Linux, Unix, Android ",,The Document Foundation,Mozilla Public License,Yes,Yes,
Microsoft Office PowerPoint," 2013, Microsoft Office 2011 for Mac "," Windows, Mac OS X ",Microsoft Office,Microsoft,Proprietary software,Yes,Yes,
Microsoft Office Mobile PowerPoint Mobile,6.1[23],Windows Mobile,Microsoft Office Mobile,Microsoft,Proprietary software,Yes,,
NeoOffice Impress,2.2.5[36],Mac OS X,NeoOffice," Patrick Luby, Edward Peterlin ",GPL,Yes,,
OnlyOffice,5.2[27],Web application,OnlyOffice,Ascensio System SIA," Proprietary software, Proprietary software ",Yes,,
OpenOffice.org Impress,3.0," Windows, Linux, Unix, Mac OS X ",OpenOffice.org,OpenOffice.org,LGPL,Yes,,Import only
Corel Presentations,X4 (2008)[34],Windows,WordPerfect Office,Corel,Proprietary software,Yes,,Import only
StarOffice Impress,9[30]," Windows, Linux, Solaris (operating system) ",StarOffice,Sun Microsystems,Proprietary software,Yes,,Import only[31]
Thinkfree Office Show,[33]," Windows, Mac OS X, Linux ",Thinkfree Office,ThinkFree Corp,Proprietary software,Yes,,
,Version,Operating systems,Office suite,Developer,License,ECMA-376,ISO/IEC 29500:2008,Notes
