,English,Esperanto,Novial
Infinitive,(to) get absorbed,est-i absorb-at-a(j) (absorb-iĝ-i),bli absorba
Simple Present tense,get(s) absorbed,est-as absorb-at-a(j)  (absorb-iĝ-as),bli absorba
Future tense,will (shall) get absorbed,est-os absorb-at-a(j)  (absorb-iĝ-os),sal bli absorba
Simple Past tense,got absorbed,est-is absorb-at-a(j)  (absorb-iĝ-is),bli-d absorba
Past Perfect (grammar),have (has) got absorbed,est-as absorb-it-a(j)  (est-as absorb-iĝ-ant-a(j)),ha bli absorba
Pluperfect,had got absorbed,est-is absorb-it-a(j)  (est-is absorb-iĝ-ant-a(j)),ha-d bli absorba
Future tense Future tense,will (shall) have got absorbed,est-os absorb-it-a(j)  (est-os absorb-iĝ-ant-a(j)),sal ha bli absorba
Future tense in the past,"   was going to (would, should) get absorbed ",est-is absorb-ot-a(j)  (est-is absorb-iĝ-ont-a(j)),sal-ed bli absorba
Conditional mood,would (should) get absorbed,est-us absorb-at-a(j)  (absorb-iĝ-us),vud bli absorba
Conditional mood Conditional mood,would (should) have got absorbed,est-us absorb-it-a(j)  (est-us absorb-iĝ-ant-a(j)),vud ha bli absorba
First Imperative mood,let us get absorbed!,ni est-u absorb-ataj!  (ni absorb-iĝ-u!),let nus bli absorba!
Second Imperative mood,get absorbed!,est-u absorb-at-a(j)!  (absorb-iĝ-u!),bli absorba!
Third Imperative mood,let him get absorbed!,li est-u absorb-at-a!  (li absorb-iĝ-u),let lo bli absorba!
Present tense Present tense,"   is (am, are) getting absorbed ",est-as absorb-at-a(j)  (est-as absorb-iĝ-ant-a(j)),es bli-nt absorba
Future tense Future tense,shall (will) be getting absorbed,est-os absorb-at-a(j)  (est-os absorb-iĝ-ant-a(j)),sal es bli-nt absorba
Past tense Past tense,was (were) getting absorbed,est-is absorb-at-a(j)  (est-is absorb-iĝ-ant-a(j)),did es (es-ed) bli-nt absorba
