Vehicle,Origin,Manufacturer,Mass to ... (kg),,,Launches (+ suborbital),Date of flight,
,,,Low Earth orbit,Geostationary transfer orbit,List of orbits,,First,Last
Satellite Launch Vehicle,//upload.wikimedia.org/wikipedia/en/thumb/4/41/Flag_of_India.svg/23px-Flag_of_India.svg.png India,Indian Space Research Organisation,40[276],,,4[276],1979,1983[276]
Soyuz (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 6,450 ",,,31[277],1966,1976
Soyuz-FG,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,TsSKB-Progress," 6,900[278] ",,,70[133][279],2001,2019
Soyuz-L,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 5,500 ",,,3[280],1970,1971
Soyuz-M,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 6,600 ",,,8[281],1971,1976
Soyuz-U,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,TsSKB-Progress," 6,650 from Baikonur CosmodromeBaikonur Cosmodrome   6,150 from Baikonur CosmodromeBaikonur Cosmodrome ",,,786[133][134][283],1973,2017
Soyuz-U2,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,TsSKB-Progress," 7,050 ",,,72[284],1982,1995
Space Shuttle,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Alliant Techsystems (Alliant Techsystems) Alliant Techsystems (Alliant Techsystems) Alliant Techsystems (Alliant Techsystems)," 24,400[c] ","    4,944 with Inertial Upper StageInertial Upper Stage 1,200 with Inertial Upper StageInertial Upper Stage   "," 3,550 to escape with Inertial Upper StageInertial Upper Stage ",135[287],1981,2011
Sputnik (rocket) 8K71PS,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia,500[288],,,2,1957,1957
Sputnik (rocket) 8A91,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 1,327 ",,,2,1958,1958
Start-1,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,Moscow Institute of Thermal Technology,532,,350 to Sun synchronous orbitSun synchronous orbit,5[290],1993,2006
Strela (rocket),//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,Khrunichev State Research and Production Space Center," 1,400[291] ",,,3[292],2003,2014
Titan II GLV,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Marietta," 3,600[293] ",,,11 (+1),1964,1966
Titan 23G,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Marietta," 3,600[294] ",,,13,1988,2003
Titan IIIA,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Marietta," 3,100[295] ",,,4,1964,1965
Titan IIIB,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Marietta," 3,000[296] ",,,70,1966,1987
Titan IIIC,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Marietta," 13,100[297] ",,,36,1965,1982
Titan IIID,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Marietta," 12,300[298] ",,,22,1971,1982
Titan IIIE,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Marietta," 15,400[299] ",,,7,1974,1977
Titan 34D,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Marietta," 4,515[300] ",,,15,1982,1989
Titan IVA,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Marietta," 17,110[301] "," 4,944 with Inertial Upper Stage ","    14,090 to SSOCentaur (rocket stage) 4,536 to GSO with Centaur (rocket stage) 3,550 to escape with Centaur (rocket stage)   ",22[302],1989,1998
Titan IVB,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Lockheed Martin," 21,682[303] "," 5,761[303] (9,000 with upper stage) ",,17[302],1997,2005
Tsyklon-2A,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhmash," 3,350[304] ",,,8[305],1967,1969
Tsyklon-2,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhmash," 2,820[306] ",,,106[307],1969,2006[307]
Tsyklon-3,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhmash," 1,920[308] ",,,122[309],1977,2009[309]
Vanguard (rocket),//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Martin Aircraft,9[310],,,11 (+1),1957,1959
Vector-R,//upload.wikimedia.org/wikipedia/en/thumb/a/a4/Flag_of_the_United_States.svg/23px-Flag_of_the_United_States.svg.png United States,Vector Space Systems,64[311],,,0 (+2),2017,2017
VLS-1,//upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png Brazil," Brazilian Space Agency, Brazilian Space Agency ",380[312],,,2[h] (never reached orbit),1997,2003
Volna,//upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/23px-Flag_of_Russia.svg.png Russia,Makeyev Rocket Design Bureau,100[313],,,1 (+5)[275],1995[i],2005[275]
Voskhod (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 6,000[314] ",,,306,1963,1976
Vostok-L,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia,,,390 to TLI[315],4,1960,1960
Vostok-K,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 2,460[316] ",,,16,1960,1964
Vostok-2 (rocket),//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 4,730[316] ",,,45,1962,1967
Vostok-2M,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 1,300[317] ",,,93,1964,1991
Soyuz/Vostok,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,RSC Energia," 6,000[318] ",,,2,1965,1966
Zenit-2,//upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union //upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Flag_of_the_Soviet_Union.svg/23px-Flag_of_the_Soviet_Union.svg.png Soviet Union,Yuzhnoye Design Bureau," 13,740[319] ",,,36[320],1985,2004[321]
Zenit-2M / 2SLB,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhnoye Design Bureau," 13,920[319] ",,,2[320],2007,2011
Zenit-3F,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhnoye Design Bureau,,," 1,740 to GEO[322] ",4[323],2011,2017
Zenit-3SL,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhmash   Yuzhmash," 7,000[323] "," 6,160 ",,36[323],1999,2014
Zenit-3SLB / 3M,//upload.wikimedia.org/wikipedia/commons/thumb/4/49/Flag_of_Ukraine.svg/23px-Flag_of_Ukraine.svg.png Ukraine,Yuzhmash   Yuzhmash,," 3,750[323] ",,6[323],2008,2013
