Client (computing),Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,Direct Client-to-Client,XDCC
AndroidChat,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Mobile Colloquy,Yes[ Wikipedia:Citation needed ],No,No,?,No,No,No,No,No,No,No,No,No,No,No,No
FIRC (page does not exist),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
JmIrc (page does not exist),No,No,No,?,No,No,No,No,No,No,No,No,No,No,No,No
K-IRC (page does not exist),No,No,No,?,No,No,No,No,No,No,No,No,No,No,No,No
Virca (page does not exist),?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
WIRC (software) (page does not exist),Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No
WLIrc,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Yaaic,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Simple IRC,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
ZsIRC,No,No,No,?,No,No,No,No,No,No,No,No,No,No,No,No
