Name,License,Platform,Details
Cerberus FTP Server,Proprietary software,Windows only," FTP, FTP, FTP, FTP, FTP web client, FTP, FTP-based FTP API, Windows FTP / FTP authentication, FTP / FTP remote administration, public key and FTP authentication "
CompleteFTP,Trialware,Windows only," FTP, FTP, FTP, FTP, FTP, FTP, Windows FTP authentication, FTP authentication, FTP FTP authentication, groups, FTP, process/e-mail events, FTP encryption, protocol conversion for back-end servers, SSH tunnelling, FTP (via client app), web-app hosting via FTP, remote administration, public key and client certificate authentication, Plugin API (.NET/Javascript), FTP, FTP, dockable FTP "
CrushFTP Server,Trialware," Mac OS X, Windows (all), Linux (all), *BSD, Solaris, IBM. "," FTP, FTP, FTP, FTP, FTP, FTP, FTP(SSL), FTP, FTP, Plugin API, FTP / FTP authentication, FTP authentication, FTP authentication, FTP SSO Authentication, CrushBalance load balancer, Web UI administration, Groups, Layered Inheritance, Events / Alerts, Protocol Conversion (incoming FTP/FTPS/SFTP/HTTP(s) protocols converted to a back end FTP(ES)/SFTP/HTTP(s)/S3/WebDAV server.), FTP, FTP, CrushTask, client certificate authentication, ad-hoc file sharing, keywords search, FTP in stream encryption / decryption, bandwidth acceleration (CrushTunnel), file revisions and synchronization, FTP front end server mode can also cluster with FTP (supports proxy protocol v1 and v2), FTP protection, FTP Virtual IP, data replication and session replication, Job scheduling and monitoring, user config via API, scriptable command line file transfer client. Supports cloud storage via FTP, FTP, [Citrix] file storage, FTP and FTP for file data. "
FileZilla Server," open source, Free software ",Windows only," FTP, FTP, supports autoban, speedlimits, IP Filter, Groups, Shared folders, compression, "
Microsoft Microsoft,Proprietary software,Windows only," FTP, FTP, FTP and WebDAV over SSL (FTPS is supported in IIS 7 and later)  "
Sysax Multi Server," Proprietary software, Free Personal Edition ",Windows (All Editions)," Secure FTP Server that also supports Secure Shell Access and Web browser based secure file transfer. Protocols supported include FTP, FTP, FTP, FTP, FTP, FTP, and FTP. Features include web UI administration, server event triggers and scripting, and authentication using Windows, ODBC, or Active Directory. Certified for Windows Vista. "
War FTP Daemon," open source, Free software ",Windows 9X/2000/XP/2003,One of the original FTP servers made for the windows platform and still available.
