Product,Vendor,Edition,Last release,Java EE compatibility Java EE,Servlet,JavaServer Pages,HTTP/2,License
ColdFusion,Adobe Systems,2016.0.1,2016-05-01,7 partial platform,3.1,2.3,No," Proprietary software, Proprietary software "
Enhydra Server,Lutris Technologies,5.1.9,2005-03-23,No,,,No," Free, GNU General Public License "
Borland Enterprise Server,Borland,6.7,2007-01,1.4,2.4,2.0,No," Proprietary software, Proprietary software "
Apache Geronimo,Apache Software Foundation,3.0.1,2013-05-28,6 full platform,3.0,2.2,No," Free, Apache License "
GlassFish,GlassFish Community,5.1.0,2019-01-28,8 full platform,4.0,2.3,No," Free, Common Development and Distribution License, Common Development and Distribution License + classpath exception "
Oracle iPlanet Web Server,Oracle Corporation,7.0.27,2018-01,Yes[2],2.5,2.1,No," Proprietary software, Proprietary software "
JBoss Enterprise Application Platform,Red Hat,7.2,2019-01-22,8 full platform,4.0,2.3,Yes," Free, GNU Lesser General Public License "
Jetty (web server),Eclipse Foundation,9.4.20,2019-08-14,7 partial platform[3],3.1,2.3,Yes," Free, Apache License 2.0, Apache License "
JEUS,TmaxSoft,8,2013-08,7 full platform,3.0,2.2,No," Proprietary software, Proprietary software "
JOnAS,OW2 Consortium (formerly OW2 Consortium),5.3,2013-10-04,6 Web Profile,3.0,2.2,No," Free, GNU Lesser General Public License "
JRun,Adobe Systems,4 updater 7,2007-11-06,1.3,3.1,2.3,No," Proprietary software, Proprietary software "
Lucee (Formerly Lucee),Lucee Association Switzerland,5.3.2.77,2019-05-27,7 partial platform,3.1,2.3,No," Free, Common Development and Distribution License, Common Development and Distribution License + classpath exception "
SAP NetWeaver Application Server,SAP AG,7.4,2013-01-11,5,2.5,2.1,No," Proprietary software, Proprietary software "
OC4J,Oracle Corporation,10.1.3.5.0,2009-08,1.4,2.4,2.0,No," Proprietary software, Proprietary software "
Orion Application Server,IronFlare,2.0.7,2006-03-09,1.3,2.3,1.2,No," Proprietary software, Proprietary software "
Payara Server,Payara,5.193,2019-08-29,8 full platform,4.0,2.3,Yes," Free, Common Development and Distribution License, Common Development and Distribution License + classpath exception "
Resin (software),Caucho Technology,4.0.62,2019-05-23,6 Web Profile[4],3.0,2.2,No," Free, GNU General Public License "
Resin (software),,,,6 Web Profile,3.0,2.2,No," Proprietary software, Proprietary software "
Apache Tomcat,Apache Software Foundation,9.0.24,2019-08-17,8 partial platform,4.0,2.3,Yes," Free, Apache License v2 "
Apache TomEE,Apache Software Foundation,7.1.1,2019-06-21,6 Web Profile,3.0,2.2,No," Free, Apache License "
Oracle WebLogic Server,Oracle Corporation (formerly Oracle Corporation),12.2.1.3,2017-08-30 [5],7 full platform,3.1,2.3,No," Proprietary software, Proprietary software "
WebObjects,Apple Inc.,5.4.3,2008-09-15,Partial[6],,,No," Proprietary software, Proprietary software "
IBM WebSphere Application Server,IBM,9.0,2016-06-24,8 full platform,3.1,2.3,No," Proprietary software, Proprietary software "
IBM WebSphere Application Server Community Edition,IBM,3.0.0.4,2013-06-21,6 full platform,3.0,2.2,No," Proprietary software, Proprietary software "
WildFly (formerly JBoss AS),Red Hat (formerly Red Hat),18.0.0.Final[7],2019-10-03,8 full platform,4.0,2.3,Yes," Free, GNU Lesser General Public License "
