File archivers,Creator(s),First public release date,Latest stable version,Cost (United States dollar),Software license
7-Zip,Igor Pavlov," January 2, 1999; 21 years ago (1999-01-02) "," 19.00 February 21, 2019; 19 months ago (2019-02-21) ",Free,GNU Lesser General Public License (RAR plugin is GNU Lesser General Public License)
ALZip,ESTsoft,1999; 21 years ago (1999)  (as a WinZip translation),8.51.0.0 (9 September 2011; 9 years ago (2011-09-09)) [±],A free general serial number was published on developer's website altools.com in August 2012,Proprietary software
ALZip for Mac,ESTsoft,1999; 21 years ago (1999)  (as a WinZip translation)," 1.11 (June 13, 2012; 8 years ago (2012-06-13)) [±] ",A free general serial number was published on developer's website altools.com in August 2012,Proprietary software
Archive Manager,Paolo Bacchilega," May 12, 2001; 19 years ago (2001-05-12) "," 3.36.2 May 4, 2020; 5 months ago (2020-05-04)[1]  ",Free,GNU General Public License
Archive Utility,Apple Inc.," October 24, 2003; 16 years ago (2003-10-24) "," 10.10 (October 16, 2014; 5 years ago (2014-10-16)) [±] ",Included with Mac OS X Mac OS X,Proprietary software
Ark (software),KDE team,1997," 19.4.3 July 9, 2019; 14 months ago (2019-07-09) ",Free,GNU General Public License
B1 Free Archiver,Adam Buyer,August 2011; 9 years ago (2011-08)," 1.5.86 November 25, 2013; 6 years ago (2013-11-25) ",Free,Proprietary software
BetterZip,BetterZip,May 2006; 14 years ago (2006-05)," 2.3.4 (December 1, 2014; 5 years ago (2014-12-01)[2]) [±] ",$19.95 USD,Proprietary software
Commander One,Eltima Software," August 4, 2015; 5 years ago (2015-08-04) "," 1.1 September 29, 2015; 5 years ago (2015-09-29) ",Standard Free; $29.95 Pro Pack,Proprietary software
ZIP (file format),Microsoft Inc.," June 25, 1998; 22 years ago (1998-06-25) "," Windows 8.1 August 27, 2013; 7 years ago (2013-08-27) ",Included in Microsoft Windows Microsoft Windows shell since Microsoft Windows.,Proprietary software
CRAX Commander,Soft4U2," September 1, 2013; 7 years ago (2013-09-01) "," 1.10.9 March 2, 2016; 4 years ago (2016-03-02) ",$19.99 USD,Proprietary software
DAR (Disk Archiver),Denis Corbin,2002; 18 years ago (2002)," 2.5.14 December 20, 2017; 2 years ago (2017-12-20) ",Free,GNU General Public License
Haiku Applications," Haiku, Inc. ",2002; 18 years ago (2002)," R1 Alpha 4.1 (November 14, 2012 (2012-11-14)) [±] ",Free,MIT License
Filzip,Philipp Engel,Unknown," 3.06 (July 19, 2006; 14 years ago (2006-07-19)) [±] ",Free,Proprietary software
FreeArc,Bulat Ziganshin," November 1, 2007; 12 years ago (2007-11-01) v0.36 "," 0.666 (May 20, 2010; 10 years ago (2010-05-20)) ",Free,GNU General Public License
IArchiver,Dare to be Creative Ltd.," October 21, 2007; 12 years ago (2007-10-21) "," 1.4.1 October 30, 2008; 11 years ago (2008-10-30) ",$26,Proprietary software
Info-ZIP (Wzip),Samuel Smith,March 1989; 31 years ago (1989-03)," 6.0 April 29, 2009; 11 years ago (2009-04-29) ",Free,BSD licenses
KGB Archiver,Tomasz Pawlak," April 1, 2006; 14 years ago (2006-04-01) "," 1.2.1.24 November 1, 2006; 13 years ago (2006-11-01) ",Free,GNU General Public License
PeaZip,Giorgio Tani," September 16, 2006; 14 years ago (2006-09-16) "," 7.4.2 October 5, 2020; 1 day ago (2020-10-05) ",Free,GNU Lesser General Public License
PKZIP,Phil Katz,1989; 31 years ago (1989),12.4[3] (ca. September 2009; 11 years ago (2009-09)),$29.00,Proprietary software
PowerArchiver,ConexWare,March 1999; 21 years ago (1999-03)," 17.01.04  October 5, 2017; 3 years ago (2017-10-05) ",$22.95,Proprietary software
StuffIt,Smith Micro Software,1987; 33 years ago (1987)," 15.0.7 December 1, 2011; 8 years ago (2011-12-01)[4] "," Free expander; $49.99 Deluxe,[5] $79.99 French Deluxe;[6] Windows: $14.99 Standard,[7] $29.99 Deluxe,[8] $49.99 French (or German) Deluxe[9][10] ",Proprietary software
Tar (file format),American Telephone &amp; Telegraph,1979; 41 years ago (1979),GNU tar: ; star: 1.5.3; BSD tar: 2.6.0,Free,Various
The Unarchiver,Circlesoft," July 1, 2006; 14 years ago (2006-07-01) "," 3.11.3 September 16, 2017; 3 years ago (2017-09-16) ",Free,Proprietary software
Terse (file format),IBM," July 1, 1984; 36 years ago (1984-07-01) ",,Free,Proprietary software
TUGZip,Christian Kindahl," August 18, 2002; 18 years ago (2002-08-18) "," 3.5.0.0 April 2, 2008; 12 years ago (2008-04-02) ",Free,Proprietary software
WinAce,e-merge GmbH,Unknown," 2.69 November 23, 2007; 12 years ago (2007-11-23) ",Free expander (GNU/Linux &amp; Mac only); $29.00 Standard; $39.00 Plus,Proprietary software
WinRAR,Eugene Roshal / Alexander Roshal,1993; 27 years ago (1993)
Windows," 5.91 / June 29, 2020; 3 months ago (2020-06-29)[11]"
Android," 5.91.build93 / August 19, 2020; 48 days ago (2020-08-19)[12]"
Linux (command line only)," 5.91 / June 29, 2020; 3 months ago (2020-06-29)[13]"
FreeBSD (command line only)," 5.91 / June 29, 2020; 3 months ago (2020-06-29)[14]"
macOS (command line only)," 5.91 / June 29, 2020; 3 months ago (2020-06-29)[15]"
