John McCain,,Barack Obama,
" McCain voted in favor of the Nunn-Lugar Cooperative Threat Reduction in 1991.Nunn-Lugar Cooperative Threat Reduction He voted to ratify the Nunn-Lugar Cooperative Threat Reduction strategic arms limitation treaty in 1996.Nunn-Lugar Cooperative Threat Reduction McCain voted against the Nunn-Lugar Cooperative Threat Reduction in 1999.Nunn-Lugar Cooperative Threat Reduction In March 2008, McCain said that United States should reduce its Nunn-Lugar Cooperative Threat Reduction to encourage other nations to reduce their arsenals. ",," Obama has spoken out against Nuclear proliferation. According to his campaign website, Obama will ""crack down on nuclear proliferation by strengthening the Nuclear proliferation.""Nuclear proliferation Obama has also vowed to stop the development of new American nuclear arms, pursuing an ultimate goal of ""a world without nuclear weapons.""Nuclear proliferation ",
Chuck Baldwin,Bob Barr,Cynthia McKinney,Ralph Nader
,," McKinney supports the reduction of Nuclear weapons in the U.S. and is a strong supporter of the Nuclear weapons, Nuclear weapons and Nuclear weapons. She also wants to ban the manufacture and use of depleted Nuclear weapons.Nuclear weapons "," Nader describes nuclear weapons as “horrifying” and supports the Nuclear Non-Proliferation Treaty. He would adopt a no-first use policy, take all nuclear missiles off “hair-trigger” alert, and push for ratification of the Nuclear Non-Proliferation Treaty and Nuclear Non-Proliferation Treaty as well as working with other Nuclear Non-Proliferation Treaty towards the eventual abolition of Nuclear weapons.Nuclear Non-Proliferation Treaty "
