Nation, Multi-satellite simultaneous launches, Launch of foreign satellite, Geostationary launches, Atmos- pheric reentry, Rendezvous dockings in orbit, Satellite navigation system, Data relay satellites, Martian missions, Solar Space Missions, Space observatories
IMG China, 1981 (FB-1)[92] 3 Sats, 1990 CZ-2E IMG science satellite, 1984 Dong Fang Hong 02 (by CZ-3), 1975 FSW-0, 2011 Tiangong 1, 2000 Beidou, 2008 Tianlian I, 2011 Yinghuo-1 (Failure), (planned) Solar Space Telescope, 2017 Space Hard X-Ray Modulation Telescope
IMG India, 1999 (PSLV-CA C2) 3 Sats, 1999 PSLV-C2 IMG Kitsat-3 IMG DLR-Tubsat, 2001 Kalpana-1 (by PSLV), 2007 SRE-1, SPADEX (planned), 2013 IRNSS[93], IDRSS (Planned), 2013 Mangalyaan[89] (orbiter), 2021 (planned) Aditya-L1, 2015 Astrosat
IMG Japan, 1986 (H-I H15F)[94] 3 Sats, 2002 H-IIA IMG FedSat, 1977 ETS-II[95] (by N-I), 1994 OREX, 1997 ETS-VII[96], 2010 QZSS[97], 2002 Kodama, 1998 Nozomi (orbiter) (Failure), 1975 Taiyo[98], 1979 Hakucho
