Aggregate score,
Aggregator,Score
GameRankings,SNES: 83%[38]
Review scores,
Publication,Score
Amstrad Action,Amstrad: 97%[39]
Crash (magazine),Spectrum: 91%[12]
Electronic Gaming Monthly,LYNX: 6.8/10[41] CD-i: 6.25/10[42]
IGN,LYNX: 9/10[43]
Next Generation (magazine),3DO: //upload.wikimedia.org/wikipedia/commons/thumb/5/51/Star_full.svg/11px-Star_full.svg.png//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Star_full.svg/11px-Star_full.svg.png//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Star_full.svg/11px-Star_full.svg.png//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Star_full.svg/11px-Star_full.svg.png//upload.wikimedia.org/wikipedia/commons/thumb/5/51/Star_full.svg/11px-Star_full.svg.png[46]
Your Sinclair,Spectrum: 91%[14]
MegaTech,SMD: 92%[44]
Mega (magazine),SMD: 90%[45]
