Other software,GUI,Command-line interface,Other,Programming language,Based on
jDCbot,No,No,No,Java (software platform),
Net::DirectConnect,No,No,No,Perl,
FlowLib,No,No,No,C Sharp (programming language),
DC-hublink,Yes,No,No,Visual Basic,
Hub-Link,Yes,No,No,Visual Basic,
MyIrcDcLinks,Yes,No,No,Delphi programming language,
NetChatLink,Yes,No,No,Object Pascal,
Kitty,Unknown,Unknown,Unknown,C Sharp (programming language),
