Integrated development environment,Software license,Microsoft Windows,Linux,MacOS,Platform (computing)
Eclipse (software),Eclipse Public License,Yes,Yes,Yes," FreeBSD, FreeBSD, FreeBSD "
IntelliJ IDEA," Apache License, proprietary ",Yes,Yes,Yes," FreeBSD, FreeBSD, FreeBSD "
NetBeans," CDDL, CDDL ",Yes,Yes,Yes,Solaris (operating system)
