Model,Type,Capacity,Speed,Range,Door-to-door capable,Price
A³ Vahana [2][3][4],?,?,?,? km,?,? €
Aeris Naviter AeroQuad (page does not exist) Aeris Naviter AeroQuad (page does not exist),?,?,unflown,? km,?,? €
Milner Motors Aircar (page does not exist),Roadable aircraft,4,unflown,?,?," $450,000 US "
Attila Melkuti AMV 211 (page does not exist) Attila Melkuti AMV 211 (page does not exist),?,?,unflown,? km,?,? €
Carter PAVCarter PAV,Autogyro,4,unflown,200 mph (320 km/h),?,? €
Cartivator Skydrive [8],?,?,?,? km,?,? €
Aerial Reconfigurable Embedded System,Roadable aircraft,4,unflown,,?,? €
DM AeroSafe Eagle Aero-Cart (page does not exist),VTOL aircraft,1,unflown,? km,?,? €
Peebles Fanwing Peebles Fanwing,?,?,unflown,? km,?,? €
GEN H-4 GEN H-4GEN H-4GEN H-4,Ultralight helicopter,1,124 mph (200 km/h),37 mi (60 km),Yes,7 500 000 JPY
Gress Aerospace (page does not exist) PAV Gress Aerospace (page does not exist),?,?,? km/h,? km,?,? €
BLI Helodyne (page does not exist),VTOL aircraft,4,140 mph (230 km/h)," 1,210 mi (1,950 km) ",Yes," $67,500 US "
Entecho Hoverpod (page does not exist)Entecho Hoverpod (page does not exist),?,?,? km/h,? km,?,? €
AVCEN Jetpod,STOL aircraft,?,unflown,? km,?,n/a
Kitty Hawk Flyer,VTOL aircraft,?,?,?,?,?
TAM Libelula (page does not exist),Backpack helicopter,?,? km/h,? km,?,? €
PAV-X (page does not exist)PAV-X (page does not exist),Ultralight Semi-Autonomous Drone,1,70 mph (110 km/h),40 mi (64 km),?," €50,000 "
Lilium Jet,VTOL,1,300 km/h (190 mph),300 km (190 mi),?,?
Mosquito Aviation XEMosquito Aviation XE,ultralight helicopter,1,80 mph (130 km/h),150 mi (240 km),?," €43,000 "
PAL-V gyrocopter,autogyro,2,110 mph (180 km/h),220–310 mi (350–500 km),Yes," €200,000 "
Kestel PAV (page does not exist),?,?,unflown,? km,?,? €
Samson Skybike,Paramotor,1,? km/h,50 mi (80 km),?," $6,000 US "
Moller Skycar,VTOL aircraft,?,unflown,? km,?,?
Parajet Skycar,Paramotor,2,100 mph (160 km/h),200 mi (320 km),Yes," £50,000 "
Macro SkyRider X2R (page does not exist),?,?,unflown,? km,?,? €
Butterfly Super Sky Cycle,Autogyro,1,80 mph (130 km/h),? km,?,?
Samson Switchblade,Roadable aircraft,2,unflown,345 mi (555 km),Yes," $60,000 US (kit) "
Terrafugia Transition,Roadable aircraft,2,115 mph (185 km/h),489 mi (787 km),?," $194,000 US "
VerdeGo Aero PAT200[17][18][19],hybrid electric VTOL,2 pax/500 lb (227 kg),> 150 mph (240 km/h),20-40 mi (30–60 km),urban vertiports,for operators
Xplorair,VTOL aircraft,1,unflown,310 mi (500 km),Yes," $80,000 US "
