Model,Code name,Fab (Nanometer),Computer bus Computer bus,Core clock (Hertz),Shader clock (Hertz),Memory clock (Hertz),Core config1,Fillrate,,Memory,,,,Processing power (GFLOPS)GFLOPSGFLOPS,,Supported Application programming interface version,,Thermal design power (Watts)
,,,,,,,,Pixel (Pixel/s),Texture (Texel (graphics)/s),Size (Megabyte),Bandwidth (Gigabyte/s),Bus type,Bus width (Bit),Single precision floating-point format,Double precision floating-point format,Direct3D,OpenGL,
Quadro FX 330,NV37GL,150,PCIe ×16,250,250,400,2:4:4:2,1,1,64,3.2,DDR,128,,,9.0,2.0,21
Quadro FX 1300,NV38,130,,350,350,550,3:4:8:4,2.8,2.8,128,17.6,,256,2.1,,,55
