Model,Charter Communications,Verizon FiOS,Xfinity,American Broadcasting Company,PBS,Fox Broadcasting Company,A&amp;E (TV channel),Bloomberg Television,Disney Channel,FX (TV channel),History (U.S. TV channel),Lifetime (TV network),MTV,SyFy,WatchESPN,Encore (TV network),Epix (TV network),HBO,Showtime (TV network) Anytime,Starz (TV network)
Amazon Fire TV,No,No,No,Yes[14],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes[15],Yes[16],Yes,Yes
Apple TV,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
Google Google,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes
Microsoft Microsoft,Yes,Yes,No,Xbox 360 only,Yes,Yes,Yes,No,Xbox 360 only," Xbox One only, Xbox 360 upcoming[17] ",Yes,Yes,Yes,Yes,Xbox One only,Yes,Yes,Yes,Yes,Yes
Roku | Roku,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Sony Sony,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No
