,Trident (layout engine),Tasman (layout engine),Gecko (layout engine),WebKit,KHTML,Presto (layout engine),ICab
b,<3.1[IE 1] [6],Yes,Yes,Yes,Yes,Yes,Yes
big,<3.1[IE 3] [6],,,,,,
hr,<3.1[IE 1] [8],,,,,,
i,<3.1[IE 1] [6],,,,,,
small,<3.1[IE 3] [6],,,,,,
sub,,,,,,,
sup,,,,,,,
tt,Yes,,,,,,
