Firewall,Software license,Cost,Operating system
Clavister,Proprietary software,Included on all Clavister NGFWs,Proprietary operating system cOS Core
Check Point,Proprietary software,Included on Check Point security gateways,Proprietary operating system Check Point IPSO and Gaia (Check Point IPSO-based)
Fortinet,Proprietary software,Included on all Fortigate devices," Proprietary, FortiOS, Based on the Linux kernel  "
Palo Alto Networks,Proprietary software,Included on Palo Alto Networks firewalls," Proprietary, PAN-OS, Based on the Linux kernel  "
Sophos,Proprietary software,Included on Sophos UTM,Linux-based appliance
Sourcefire,Proprietary software,Included on all CISCO ASA devices,Proprietary operating system
Cisco PIX,Proprietary software,Included on all CISCO PIX devices,Proprietary operating system
Juniper Networks SSG,Proprietary software,Included on Netscreen security gateways,Proprietary operating system ScreenOS
Juniper Networks SRX,Proprietary software,Included on SRX security gateways,Proprietary operating system Junos
Sonicwall,Proprietary software,Included on Dell appliance,Proprietary operating system SonicOs (page does not exist) Based on the SonicOs (page does not exist) kernel
Barracuda Networks Firewall,Proprietary software,Included Firewall Next Generation appliance,Windows-based appliance embedded firewall distribution
Cyberoam,Proprietary software,Included Firewall Sophos appliance,Windows-based appliance embedded firewall distribution
D-Link,Proprietary software,Included Firewall DFL,Windows-based appliance embedded firewall distribution
Endian Firewall,Proprietary software,Free / Paid,Linux-based appliance
Forcepoint NGFW,Proprietary software,Included on all Forcepoint NGFW devices,Proprietary operating system
OPNsense,Simplified BSD license,Free / Paid,FreeBSD-based appliance firewall distribution
PfSense,ESF/Apache 2.0,Free / Paid,FreeBSD-based appliance firewall distribution
Zeroshell,GPL,Free / Paid,Linux/Linux-based appliance firewall distribution
SmoothWall,GPL,Free / Paid,Linux-based appliance embedded firewall distribution
IPFire,GPL,Free (Donations welcomed),Linux-based appliance embedded firewall distribution
WatchGuard,Proprietary software,Included on all Firebox devices," Proprietary, Fireware OS, Based on the Linux kernel  "
WinGate,Proprietary software,Free / Paid,Windows-based appliance embedded firewall distribution
