Audio compression format,Audio Compression Manager,DirectShow,QuickTime,GStreamer,FFmpeg,Media Foundation
8SVX,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
Advanced Audio Coding,Yes," Yes (Ffdshow, MonogramFfdshow) ",Yes,Yes (GStreamer FFmpeg plug-in),Yes,Yes
Dolby AC-3,Yes,Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes
Audio Lossless Coding,?,?,?,?,?,?
Adaptive Multi-Rate audio codec,No,No,Yes [48] [49],Yes (GStreamer Ugly Plug-ins (page does not exist)),Yes,Yes
Apple Lossless Audio Codec,Yes,Yes (Ffdshow),Yes,Yes (GStreamer FFmpeg plug-in),Yes,Yes
AptX,?,?,?,?,Yes,?
ATRAC3,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
ATRAC3plus,No,No,No,No,Yes,Yes (Ffdshow)
CELT,?,?,?,?,?,?
Cook Codec,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
DTS (sound system),Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
DTS-HD Master Audio,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
E-AC-3,Yes,Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes
FLAC,yes,Yes (Ffdshow),Yes (Perian)," Yes (GStreamer Base Plug-ins (page does not exist), GStreamer Base Plug-ins (page does not exist)) ",Yes,Yes
HE-AAC,?,?,?,?,?,?
Monkey's Audio,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
WavPack,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
Shorten (file format),Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
Sonic Audio,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
MP3,Yes,Yes,Yes," Yes (GStreamer Ugly, GStreamer FFmpeg plug-in) ",Yes,Yes
RealAudio,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian)," Yes (GStreamer FFmpeg plug-in, GStreamer DLL loader plugin + Binary Codec Packages) ",Yes,Yes (Ffdshow)
Speex,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian)," Yes (GStreamer, GStreamer) ",Yes,Yes (Ffdshow)
Vorbis,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian)," Yes (GStreamer, GStreamer) ",Yes,Yes (Ffdshow)
La ???,No,No,No,No,No,Yes (Ffdshow)
Lossless Predictive Audio Compression,No,No,No,No,No,Yes (Ffdshow)
Windows Media Audio v1,Yes,Yes,Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes
Windows Media Audio v2,Yes,Yes,Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes
Windows Media Audio Pro,Yes,Yes,Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes
Windows Media Audio Lossless,Yes,Yes,Yes (Flip4mac),Yes (GStreamer FFmpeg plug-in),Yes,Yes
Windows Media Audio Voice,Yes,Yes,No,No,Yes,Yes
Musepack,Yes (Ffdshow)," Yes (Ffdshow, MonogramFfdshow) ",Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
Meridian Lossless Packing,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
Nellymoser Asao Codec in Flash,Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
OptimFROG,No,No,No,No,No,Yes (Ffdshow)
Truespeech,Yes,Yes,Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
TTA (codec),Yes (Ffdshow),Yes (Ffdshow),Yes (Perian),Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
QCELP,Yes (Ffdshow),Yes (Ffdshow),Yes,Yes (GStreamer FFmpeg plug-in),Yes,Yes (Ffdshow)
