Maker,Model,Number,E-Books,,,,,,,,,,,,,,,,,,,,Images,,,,,Audio/Video,,,,,,
,,,.azw,.cbr,.cbz,.chm,.djvu,.doc,.docx,.epub,.fb2,.html,.lit,.mobi,.opf,.pdb,.pdf,.pdg,.rtf,.tcr,.tr3,.txt,.bmp,.gif,.jpg,.png,.tiff,.avi,.flv,.m4v,.mov,.mp3,.mpeg1/2/4,.wmv
Aluratek (page does not exist),Liber Touch (page does not exist),09,No,No,No,No,No,No,Unknown,Yes,Partial (non-DRM only),No,No,No,No,No,Yes,No,Partial (non-DRM only),No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),Yes,Partial (non-DRM only),No
Aluratek,Libre Air (page does not exist),11,No,No,No,No,No,No,Unknown,Yes,Partial (non-DRM only),Yes,No,Partial (non-DRM only),No,No,Yes,No,Partial (non-DRM only),No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,No,No,No,No,Yes,No,No
Aluratek,Libre Color (page does not exist) eBook Reader,10,No,No,No,No,No,No,Unknown,Yes,Partial (non-DRM only),Yes,No,No,No,No,Yes,No,Partial (non-DRM only),No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),Partial (non-DRM only),Yes,Partial (non-DRM only),Partial (non-DRM only)
Aluratek,Libre Pro (page does not exist),08,No,No,No,No,No,No,Unknown,Yes,Partial (non-DRM only),No,No,Partial (non-DRM only),No,No,Yes,No,No,No,No,Yes,Unknown,Yes,Yes,No,Unknown,No,No,No,No,Yes,No,No
Amazon.com,Amazon Kindle Wi-Fi &amp; 3G,12+,Yes,No,Yes,Unknown,No,Yes,Unknown,No,No,Yes,No,Partial (no DRM),No,No,Yes,No,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Amazon.com,Kindle DX,12,Yes,No,Unknown,Unknown,No,Unknown,Unknown,No,No,Yes,No,Partial (no DRM),No,No,Yes,No,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Amazon.com,Kindle 2,12,Yes,No,No,Unknown,No,Unknown,Unknown,No,No,Yes,No,Partial (no DRM),No,No,Yes,No,Yes,Unknown,Yes,Yes,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Amazon.com,Amazon Kindle,Unknown,Yes,No,Unknown,Unknown,Unknown,No,Unknown,No,No,Yes,No,Partial (no DRM),No,No,No,No,Yes,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Asus,Eee Reader DR900,Unknown,No,No,Yes,No,No,No,Unknown,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Barnes &amp; Noble,Barnes &amp; Noble Nook Color,15+,No,Unknown,Unknown,No,No,Yes,Unknown,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Barnes &amp; Noble,Barnes &amp; Noble nook,04,No,Unknown,Unknown,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Barnes &amp; Noble,Nook Simple Touch,08,No,Unknown,Unknown,No,No,No,No,Yes,No,Unknown,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
Bookeen,Cybook Orizon,08,No,Unknown,Unknown,No,No,No,Unknown,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
Bookeen,Cybook Opus,06,No,Unknown,Unknown,No,No,Yes,Unknown,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown
Bookeen,Cybook Gen3,07,No,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
bq,Movistar ebook bq (page does not exist),14,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No
Condor Technology,EGriver IDEO,18,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
Condor Technology Associates,eGriver Touch,08,No,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Unknown,Unknown,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown
