Software,Collaborative software,Issue tracking system,Scheduling (production processes),Project Portfolio Management,Resource Management,Document management system,Workflow management system,Report and Analyses
2-plan project management software,Yes,No,Yes[20],Yes,Yes,Yes,Yes,Yes
24SevenOffice,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Actionspace,Yes,Yes,Yes,No,No,No (Integrates with SharePoint),Yes,Yes
Apache Allura,Yes,Yes,No,Yes,Yes,Yes,No,No
Apache OFBiz,Unknown,No,Yes,Yes,Yes,Yes,No,Unknown
Apache Bloodhound,Yes,Yes,No,No,No,No,Yes,No
Asana (software),Yes,No,Yes,Yes,Yes,No,Yes,Yes
Assembla,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Axosoft,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Basecamp Classic,Yes[21],No,No,No,Yes[19],Yes,No,No
Calligra Plan,No,No,Yes,No,Yes,No,No,No
CEITON,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Clarizen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Collabtive,Yes,No,No,No,No,Yes,No,Yes
Compuware Changepoint,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
ConceptDraw Project,Yes[22],Yes[23],Yes[24],Yes,Yes,Yes,Yes,Yes
Concerto Project Management,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Copper Project,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
DotProject,Yes,Yes,No,Yes,Yes,Yes,No,Yes
DynaRoad,No,No,Yes,No,Yes,No,Yes,Yes
Easy projects,Yes,Yes,Yes,Yes,Yes,No,No,Yes
Eclipse PPM software,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Endeavour Software Project Management,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
EGroupWare,Yes,Yes,No,Yes,Yes,Yes,No,No
EnQuire,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FastTrack Schedule,Yes,No,Yes,Yes,Yes,No,Yes,Yes
Feng Office Community Edition,Yes,No,Yes,Yes,No,Yes,No,No
FinancialForce.com,No,No,Yes,No,Yes,No,No,Yes
FogBugz,Yes,Yes,Yes,No,Yes,No,Yes,Yes
Fossil (software),Yes,Yes,No,No,No,No,No,No
Freedcamp,Yes,Yes,Yes,No,No,Yes,Yes,Yes
GanttProject,No,No,Yes,No,Yes,No,No,No
