Danish, Jeg ved,, hvordan manden,, (som) du snakker om,, ser ud.
Norwegian (Bokmål), Jeg vet, hvordan mannen, (som) du snakker om, ser ut.
Norwegian (Nynorsk), Eg veit, korleis mannen, (som) du talar om (som) du snakkar om, ser ut.
Swedish, Jag vet, hur mannen, (som) du talar om (som) du pratar om (som) du snackar om (colloquial), ser ut.
English, I know, how the man, (that) you're talking about, looks.
