Format,Type,3GP and 3G2,Advanced Systems FormatAdvanced Systems Format,Audio Video InterleaveAudio Video Interleave,DivX Media Format,Enhanced VOB,Flash VideoFlash Video,Flash Video,Matroska," MPEG program stream, MPEG program streamMPEG program stream ",.m2ts,MPEG-4 Part 14MPEG-4 Part 14,Material eXchange Format,OggOgg,QuickTime File FormatQuickTime File Format,RMVB,VOB,WebMWebM
DV,Intra-frame coding,No,Yes,Yes,No,No,No,No,Video Compression Manager,No,No,DVCPRO HD,Yes[39][III],No,DV 25,No,No,No
Motion JPEG,Intra-frame coding,No,Yes,Yes,No,No,No,No,Video Compression Manager,No,No,Yes,No,No,Yes,No,No,No
Motion JPEG 2000,Intra-frame coding,No,No,Not standard,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
MPEG-1 Part 2,Lossy compression,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
H.262/MPEG-2 Part 2,Lossy compression,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Needs VLC media playerVLC media player,Yes,No,Yes,No
MPEG-4 Part 2,Lossy compression,Yes,Yes,Yes,MPEG-4 ASP with DivX profiles,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Needs VLC media playerVLC media player,Yes,No,No,No
Windows Media Video,Lossy compression,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes[42],No,No,No,No,No,No
VC-1,Lossy compression,No,Yes,Yes,No,Yes,No,No,Video Compression Manager,No,Yes,Yes,Yes,Needs VLC media playerVLC media player,Yes,No,No,No
Sorenson Media,Lossy compression,No,No,Version 1,No,No,Sorenson Media,No,Yes,No,No,Yes,No,No,Versions 1 and 3,No,No,No
H.263,Lossy compression,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No
VP6,Lossy compression,No,No,Needs VP6VP6VP6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
RealVideo,Lossy compression,No,No,Not standard,No,No,No,No," RV10, RV20, RV30, RV40 ",No,No,RV60,No,No,No," RV30, RV40, RV60 ",No,No
Cinepak,Lossy compression,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No
Intel Indeo,Lossy compression,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Theora,Lossy compression,No,No,Needs Ffdshow,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No
H.264/MPEG-4 AVC,Lossy compression or Lossy compression,Yes,Yes,Yes[V],No,Yes,Not standard,Yes,Yes,Yes[45],Yes,Yes,Yes,No,Yes,No,No,No
High Efficiency Video Coding,Lossy compression or Lossy compression,Yes,Yes,Yes,No,No,No,No,Software release life cycleSoftware release life cycle,Yes,No,Yes,Pending[48],No,Yes[49],No,No,No
Dirac (video compression format),Lossy compression or Lossy compression,No,No,Needs Dirac[50],No,No,No,No,Video Compression Manager,Private,No,Yes,No,Yes[51][52],Not standard,No,No,No
VP8,Lossy compression or Lossy compression,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Needs FirefoxFirefox,No,No,No,Yes
VP9,Lossy compression or Lossy compression,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Needs FirefoxFirefox,No,No,No,Yes
AV1,Lossy compression or Lossy compression,No,No,No,No,No,No,No,Software release life cycle,Planned,No,Yes,No,No,No,No,No,Software release life cycle
Multiview Video Coding,Stereoscopic video coding,Yes,No,No,No,No,No,No,Yes[12],No,No,Yes,No[VII][VIII],No,No,No,No,No
Huffyuv,Lossless compression,No,No,Needs HuffyuvHuffyuv,No,No,No,No,Video Compression Manager,No,No,No,No,No,No,No,No,No
YCbCrYCbCr,Uncompressed video,No,Yes,Yes,No,No,No,No,Yes,No,No,SheerVideo,Yes[56],Software release life cycleSoftware release life cycle,Yes,No,No,No
Other,Other,—,—,—,—,—,Screen Video,—,—," JPEG 2000, TICO ",—,—,—," Multiple-image Network Graphics, Multiple-image Network Graphics, Multiple-image Network GraphicsMultiple-image Network Graphics "," DVC Pro 50, Photo JPEG, Graphics, QuickTime Animation, QuickTime Animation ",—,—,—
Obsolete,Other,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Format,Type,3GP and 3G2,Advanced Systems FormatAdvanced Systems Format,Audio Video InterleaveAudio Video Interleave,DivX Media Format,Enhanced VOB,Flash VideoFlash Video,Flash Video,Matroska," MPEG program stream, MPEG program streamMPEG program stream ",.m2ts,MPEG-4 Part 14MPEG-4 Part 14,Material eXchange Format,OggOgg,QuickTime File FormatQuickTime File Format,RMVB,VOB,WebMWebM
