Language,Statement separator-terminator,Secondary separator[1]
ABAP,period separated
Ada (programming language),semicolon terminated
ALGOL,semicolon separated
ALGOL 68,semicolon and comma separated[2]
APL (programming language),newline terminated,⋄ separated
AppleScript,newline terminated
AutoHotkey,newline terminated
BASIC,newline terminated,colon separated
Boo (programming language),newline terminated
C (programming language),semicolon terminates statements,comma separates expressions
C++,semicolon terminates statements,comma separates expressions
C Sharp (programming language),semicolon terminated
COBOL," whitespace separated, sometimes period separated, optionally separated with commas and semi-colons. ",
Cobra (programming language),newline terminated
CoffeeScript,newline terminated
CSS,semicolon separated
D (programming language),semicolon terminated
Eiffel (programming language),newline terminated,semicolon
Erlang (programming language)," colon separated, period terminated "
F Sharp (programming language),newline terminated,semicolon
Fortran,newline terminated,semicolon
Forth (programming language),semicolons terminate word definitions
GFA BASIC,newline terminated
Go (programming language),semicolon separated (inserted by compiler)
Haskell (programming language) (in do-notation),newline separated
" Haskell (programming language) (in do-notation, when braces are used) ",semicolon separated
Java (programming language),semicolon terminated
JavaScript,semicolon separated (but sometimes implicitly inserted on newlines)
Kotlin (programming language),semicolon separated (but sometimes implicitly inserted on newlines)
Lua (programming language),whitespace separated (semicolon optional)
Mathematica,semicolon separated
MATLAB,newline terminated,semicolon or comma[3]
Object Pascal (Object Pascal),semicolon separated
Objective-C,semicolon terminated
OCaml,semicolon separated
Pascal (programming language),semicolon separated
Perl,semicolon separated
PHP,semicolon terminated
Pick Basic,newline terminated,semicolon separated
PowerShell,newline terminated,semicolon separated
Prolog," comma separated (conjunction), semicolon separated (disjunction), period terminated (clause) "
Python (programming language),newline terminated,semicolon
Raku (programming language),semicolon separated
Red (programming language),whitespace separated
Ruby (programming language),newline terminated,semicolon
Rust (programming language),semicolon terminates statements,comma separates expressions
Scala (programming language),newline terminated (semicolon optional),semicolon
Seed7,semicolon separated (semicolon termination is allowed)
Simula,semicolon separated
S-Lang (programming language),semicolon separated
Smalltalk,period separated
Standard ML,semicolon separated
Swift (programming language),semicolon separated (inserted by compiler)
Visual Basic,newline terminated,colon separated
Visual Basic .NET,newline terminated,colon separated
Wolfram Language,semicolon separated
Xojo,newline terminated
Language,Statement separator-terminator,Secondary separator[1]
