,Design Authority,Software license
AutoCAD DXF,,
Cartesian coordinate system,,
Geography Markup Language,Open Geospatial Consortium,?
GeoMedia,,
MapInfo TAB format,,
National Transfer Format,,
Shapefile,Environmental Systems Research Institute,
TIGER,,
Vector Product Format (VPF),,
