Country,Spacecraft,Launch payload,Year launched
//upload.wikimedia.org/wikipedia/en/thumb/9/9e/Flag_of_Japan.svg/23px-Flag_of_Japan.svg.png Japan,H-II Transfer Vehicle," 6,000 kg (13,000 lb) ",2009
//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/23px-Flag_of_the_People%27s_Republic_of_China.svg.png China,Tianzhou (spacecraft)," 6,500 kg (14,300 lb) ",2017
