Product,Theme,Day-night mode,Brightness control,Adjust to display size,Indent paragraph,Trim extra blank spaces,Enable-disable CSS,Customize text alignment,Customize font scale,Customize line space,Customize color,Customize transparent,Fading edge,Simulate real page flip,Image view with zoom/pan
Aldiko,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No
AlReader (page does not exist),?,Yes,Yes,Yes,Yes,?,No,Yes,Yes,Yes,Yes,?,?,Yes,?
Bookari Ebook Reader Premium (page does not exist),Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,?
CoolReader,?,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,?,?,Yes,?
EBookDroid (page does not exist),?,Yes,?,?,?,Yes,?,?,?,?,?,?,?,?,?
Ebook Reader (page does not exist),No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes (PDF only)
EReader Prestigio (page does not exist),Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
FBReader,Yes,Yes,Yes,Yes,Yes,Yes,No enable/disable CCS » YES,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Google Play Books,?,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,?,?,Yes,?,?
IReader (page does not exist),Yes,Yes,Yes,Yes,?,?,?,Yes,Yes,Yes,Yes,?,?,Yes,No
Amazon Kindle,?,Yes,Yes,?,?,?,?,?,Yes,Yes,?,?,?,?,?
Kobo Books,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,?
KOReader,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,?,?,?,Yes
Lektz,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,?
Librera (page does not exist),Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
Moon+ reader (page does not exist),10+,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MReader (page does not exist),Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No
OverDrive Media Console,Yes,Yes,Yes,Yes,?,?,?,?,Yes,Yes,Yes,?,?,No,Yes
PocketBook reader (page does not exist),?,Yes,Yes,Yes,Yes,?,Yes,Yes,Yes,Yes,Yes,No,?,Yes,Yes
Snapplify,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Socio eReader (page does not exist),Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,?
