Dataset Name, Brief description, Preprocessing, Instances, Format, Default Task, Created (updated), Reference, Creator
MovieTweetings, Movie rating dataset based on public and well-structured tweets, , ~710000, Text, Classification regression, 2018, [188], S. Dooms
Twitter100k, Pairs of images and tweets, , 100000, Text and Images, Cross-media retrieval, 2017, [189][190], Y. Hu et al.
Sentiment140, Tweet data from 2009 including original text time stamp user and sentiment., Classified using distant supervision from presence of emoticon in tweet., 1578627, Tweets comma separated values, Sentiment analysis, 2009, [191][192], A. Go et al.
ASU Twitter Dataset, Twitter network data not actual tweets. Shows connections between a large number of users., None., 11316811 users 85331846 connections, Text, Clustering graph analysis, 2009, [193][194], R. Zafarani et al.
SNAP Social Circles: Twitter Database, Large Twitter network data., Node features circles and ego networks., 1768149, Text, Clustering graph analysis, 2012, [195][196], J. McAuley et al.
Twitter Dataset for Arabic Sentiment Analysis, Arabic tweets., Samples hand-labeled as positive or negative., 2000, Text, Classification, 2014, [197][198], N. Abdulla
Buzz in Social Media Dataset, Data from Twitter and Tom's Hardware. This dataset focuses on specific buzz topics being discussed on those sites., Data is windowed so that the user can attempt to predict the events leading up to social media buzz., 140000, Text, Regression Classification, 2013, [199][200], F. Kawala et al.
Paraphrase and Semantic Similarity in Twitter (PIT), This dataset focuses on whether tweets have (almost) same meaning/information or not. Manually labeled., tokenization part-of-speech and named entity tagging, 18762, Text, Regression Classification, 2015, [201][202], Xu et al.
Geoparse Twitter benchmark dataset, This dataset contains tweets during different news events in different countries. Manually labeled location mentions., location annotations added to JSON metadata, 6386, Tweets JSON, Classification Information Extraction, 2014, [203][204], S.E. Middleton et al.
